case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,121455,1.9193116792227574,1152,158664,1.306360380387798,v3_idblock_32,0.056,0.378,,,,,,,
case_001,4,ok,233110,71177,3.2750748134931227,1404288,90390,1.2699327029798952,v2_memory_24,0.054,0.365,,,,,,,
case_019,2,ok,81144,63007,1.2878569047883568,36,68432,1.0861015442728585,v3_idblock_32,0.061,0.272,,,,,,,
case_019,4,ok,81144,47922,1.6932515337423313,32804,64842,1.3530737448353574,v3_idblock_32,0.061,0.277,,,,,,,
case_035,2,ok,169571,166405,1.0190258706168684,111474,176020,1.0577807157236863,v3_idblock_32,0.397,2.449,,,,,,,
case_035,4,ok,169571,166414,1.0189707596716622,111528,173170,1.0405975458795533,v3_idblock_32,0.409,2.61,,,,,,,
