case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,138202,1.686733911231386,1266816,158664,1.1480586388040694,v2_memory_27,0.061,0.317,,,,,,,
case_001,4,ok,233110,71177,3.2750748134931227,1404288,90390,1.2699327029798952,v2_memory_24,0.061,0.316,,,,,,,
case_019,2,ok,81144,66614,1.2181223166301378,98304,68432,1.027291560332663,v2_critical_72,0.066,0.22,,,,,,,
case_019,4,ok,81144,64842,1.2514111224206532,135168,64842,1.0,v1,0.066,0.225,,,,,,,
case_035,2,ok,169571,170752,0.9930835363568216,72936,176020,1.0308517616191903,v2_critical_512,0.387,1.697,,,,,,,
case_035,4,ok,169571,169199,1.0021985945543412,0,173170,1.0234694058475522,v2_memory_310,0.395,1.739,,,,,,,
