case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,121455,1.9193116792227574,1152,158664,1.306360380387798,paired_b_plan,0.153,0.481,121455,121455,1152,1152,1.0,0.0,0.0
case_001,4,ok,233110,71177,3.2750748134931227,1404288,88182,1.2389114461132107,paired_b_plan,0.191,0.514,71177,71177,1404288,1404288,1.0,0.26565685988930965,0.26565685988930965
case_019,2,ok,81144,63007,1.2878569047883568,36,68432,1.0861015442728585,paired_b_plan,0.15,0.37,63007,63007,36,36,1.0,0.0,0.0
case_019,4,ok,81144,47922,1.6932515337423313,32804,64842,1.3530737448353574,paired_b_plan,0.147,0.37,47922,47922,32804,32804,1.0,0.0,0.0
case_035,2,ok,169571,166405,1.0190258706168684,111474,176020,1.0577807157236863,paired_b_plan,1.103,3.189,166405,166405,111474,111474,1.0,0.005723551157267677,0.005723551157267677
case_035,4,ok,169571,166414,1.0189707596716622,111528,173090,1.0401168170947155,paired_b_plan,1.107,3.242,166414,166414,111528,111528,1.0,0.005727603967026625,0.005727603967026625
