case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_005,5,95618,38452,2.486684697805056,1344888,1344888,0,paired_b_plan,13.36,39919,38452,1344888,1344888,1.0381514615624674,0.4928404843186731,0.4928404843186731
case_009,5,153261,38418,3.9893018897391848,807580,807580,0,paired_b_plan,14.531,39161,38418,807580,807580,1.0193398927586028,0.46532412285836944,0.46532412285836944
case_040,5,253454,85863,2.9518418876582464,1882184,1882184,0,local_move_202_4_44,12.125,89366,87210,1820868,1820868,1.024721935557849,0.32654864484362445,0.32607257787557714
case_049,5,196276,49933,3.930787254921595,751332,751332,0,local_cache_order,12.86,51084,50006,751332,751332,1.0215574131104268,0.3594450637928899,0.35837270619879313
case_064,5,19116,7073,2.7026721334652906,91026,91026,0,paired_b_plan,3.063,7096,7073,91026,91026,1.0032518026297186,0.2326457245570487,0.2326457245570487
case_068,5,362095,103568,3.4962053916267575,3115592,3115592,0,paired_b_plan,13.594,111299,103568,3115592,3115592,1.0746466089911941,0.13950107833386965,0.13950107833386965
