case,status,makespan,added_copy_bytes,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,evaluation_seconds
case_001,ok,233110,0,233110,233110,,,1.0,0.0,0.219
case_019,ok,81144,0,81144,81144,,,1.0,0.0,0.157
case_035,ok,169571,0,169571,169571,,,1.0,0.0,2.406
