case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_005,5,95618,55047,1.7370247243264847,1804938,1804938,0,fork_separators_3,8.781,,,,,,,
case_044,5,154407,96266,1.60396193879459,222336,210048,12288,round5_round4_round3_round2_round1_seed_reference_a_refine1_merge_14_15_merge_3_4_merge_10_11_batchmerge_2_merge_0_2_batchmerge_2,4.297,,,,,,,
case_048,5,222220,148171,1.4997536629974826,1336088,1336088,0,depth_shift_6_3,6.516,,,,,,,
case_064,5,19116,12958,1.4752276585892885,150202,150202,0,fork_separators_3,2.109,,,,,,,
case_071,5,18919,9669,1.9566656324335505,190774,190774,0,fork_fusion_3_0.5,2.515,,,,,,,
case_086,5,118403,60605,1.9536836894645657,2225154,2225154,0,fork_separators_3,10.453,,,,,,,
