case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_064,2,19116,18789,1.0174038000958008,24398,24398,0,round4_round1_polish_seed_reference_a_refine2_split_2_1_placement_merge_2_1_split_3_2,0.282,,,,,,,
case_064,4,19116,18926,1.0100390996512734,16492,16492,0,seed_reference_a_refine1_merge_2_1,0.094,,,,,,,
case_064,5,19116,12958,1.4752276585892885,150202,150202,0,fork_separators_3,0.422,,,,,,,
