case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_044,5,154407,96266,1.60396193879459,222336,210048,12288,round5_round4_round3_round2_round1_seed_reference_a_refine1_merge_14_15_merge_3_4_merge_10_11_batchmerge_2_merge_0_2_batchmerge_2,4.375,,,,,,,
case_045,5,125614,26164,4.801024308209754,0,0,0,seed_reference_a_affinity_64_bundle_5,0.11,,,,,,,
case_046,5,276455,100132,2.7609056046019256,3931104,3069728,861376,round2_round1_seed_reference_a_affinity_64_bundle_4_worksplit_0_4_0_worksplit_2_0_1,2.563,,,,,,,
case_047,5,326508,130017,2.5112716029442304,3061354,3061354,0,fork_separators_3,36.484,,,,,,,
case_048,5,222220,150454,1.476996291225225,1110490,1110490,0,depth_islands_8,5.969,,,,,,,
case_049,5,196276,60840,3.226101249178172,1101054,1101054,0,fork_separators_3,14.109,,,,,,,
case_050,5,149690,51668,2.8971510412634514,1044778,1044778,0,fork_separators_3,15.5,,,,,,,
case_051,5,607628,252724,2.4043145882464665,9045400,9045400,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_5_split_12_2_splitmove_0_145_2_0_split_18_2,1.469,,,,,,,
case_052,5,180301,37262,4.8387365144114645,355360,355360,0,round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_1_split_0_1,0.109,,,,,,,
case_053,5,1472686,441970,3.332094938570491,12362794,9024970,3337824,fork_separators_3,26.609,,,,,,,
case_054,5,815051,235781,3.456813738172287,4104950,4104950,0,fork_separators_3,43.094,,,,,,,
case_055,5,118835,25635,4.635654378779013,231424,231424,0,depth_islands_32,4.36,,,,,,,
case_056,5,277285,90557,3.0619941031615445,1926938,1926938,0,fork_separators_3,31.047,,,,,,,
case_057,5,59726,13736,4.348136284216657,18208,18208,0,round1_seed_reference_a_affinity_64_bundle_5_split_1_1,3.328,,,,,,,
case_058,5,4539717,1004819,4.517945022934478,32104448,18382848,13721600,fork_separators_3,78.516,,,,,,,
case_059,5,829473,150782,5.501140719714555,4325376,4325376,0,seed_reference_a_affinity_64_bundle_5,0.156,,,,,,,
case_060,5,888789,187823,4.732056244442906,3886208,3819648,66560,fork_fusion_3_0.5,25.547,,,,,,,
case_061,5,77191,19470,3.964612223934258,145668,145668,0,depth_islands_32,4.031,,,,,,,
case_062,5,2854809,634277,4.500886836508339,6763008,6763008,0,depth_islands_8,144.953,,,,,,,
case_063,5,1070397,240732,4.446425901001944,2554368,2554368,0,depth_islands_8,24.843,,,,,,,
case_064,5,19116,12958,1.4752276585892885,150202,150202,0,fork_separators_3,1.079,,,,,,,
case_065,5,53068,11263,4.711710911835213,64086,64086,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,2.562,,,,,,,
case_066,5,359070,113424,3.165732120186204,2930564,2930564,0,fork_separators_3,11.985,,,,,,,
case_067,5,63834834,13997604,4.560411481850751,271254912,193398144,77856768,round5_round4_round3_round2_round1_seed_reference_a_chains_8_batchmerge_2_split_71_1_split_72_1_merge_100_110_merge_100_120,45.797,,,,,,,
case_068,5,362095,146070,2.478914219209968,3985802,3985802,0,fork_separators_3,11.296,,,,,,,
case_069,5,25144,11693,2.150346361070726,268442,268442,0,fork_fusion_3_0.5,3.687,,,,,,,
case_070,5,117300,26271,4.464999429028206,475656,475656,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,3.891,,,,,,,
case_071,5,18919,9669,1.9566656324335505,190774,190774,0,fork_fusion_3_0.5,1.156,,,,,,,
case_072,5,23897828,4714384,5.069130558732594,157369008,157369008,0,round3_round2_round1_structure_components_pipe_batchmerge_4_merge_0_25_merge_0_45,1.25,,,,,,,
case_073,5,10081626,2955858,3.410727443605207,142741248,142741248,0,best_placement,19.453,,,,,,,
case_074,5,1682239,339826,4.950295151047889,12787712,12787712,0,round2_round1_structure_components_pipe_batchmerge_2_merge_0_15,0.218,,,,,,,
case_075,5,1441809,415252,3.472130176374828,7113738,7113738,0,fork_separators_3,16.375,,,,,,,
case_076,5,6185113,1231725,5.021504800178612,41390080,27116544,14273536,round2_round1_seed_reference_a_affinity_64_bundle_5_batchmerge_2_merge_11_5,1.156,,,,,,,
case_077,5,495320,115390,4.292573013259381,233308,233308,0,round5_round1_seed_reference_a_affinity_64_bundle_5_split_0_2_split_1_1,14.578,,,,,,,
case_078,5,2296143,526808,4.3585955414496365,15629184,15629184,0,depth_islands_32,2.547,,,,,,,
