case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_016,2,ok,7715523,4027025,1.9159362060081573,404200,7776614,1.9311064619663398,v4_idblock_1,,48.709,,,,,,,
case_016,3,ok,7715523,3030137,2.5462620997004426,609332,7776614,2.566423234329009,v4_idblock_1,,56.318,,,,,,,
case_016,4,ok,7715523,2395897,3.2203066325472256,744064,7776614,3.2458048071348644,v4_idblock_1,,53.633,,,,,,,
case_016,5,ok,7715523,2090062,3.6915282895914094,546240,7795643,3.7298620806464116,v4_idblock_1,,49.131,,,,,,,
case_017,2,ok,162810,80702,2.017422120889197,140552,154341,1.9124804837550495,v4_idblock_16,,1.669,,,,,,,
case_017,3,ok,162810,66923,2.4327958997654022,188468,155580,2.324761292829072,v4_idblock_24,,1.661,,,,,,,
case_017,4,ok,162810,61147,2.6625999640211293,344168,158860,2.598001537279016,v4_idblock_8,,1.754,,,,,,,
case_017,5,ok,162810,59851,2.720255300663314,732900,145019,2.423000451120282,v4_idblock_4,,1.752,,,,,,,
case_018,2,ok,1004367,517800,1.9396813441483198,2104948,1071976,2.070251062186172,v4_idblock_4,,4.136,,,,,,,
case_018,3,ok,1004367,344821,2.9127199329507194,3051736,622561,1.8054613843124403,v4_idblock_4,,4.189,,,,,,,
case_018,4,ok,1004367,263667,3.8092252727872657,4791560,588739,2.2328884539968974,v4_idblock_2,,4.335,,,,,,,
case_018,5,ok,1004367,215912,4.651742376523769,4034540,493011,2.2833886027640893,v4_idblock_2,,4.183,,,,,,,
case_019,2,ok,81144,45540,1.7818181818181817,137280,68432,1.5026789635485287,v4_idblock_2,,0.563,,,,,,,
case_019,3,ok,81144,34863,2.327510541261509,234104,64842,1.8599087858187764,v4_idblock_2,,0.601,,,,,,,
case_019,4,ok,81144,28437,2.8534655554383375,262744,64842,2.280198333157506,v4_idblock_2,,0.609,,,,,,,
case_019,5,ok,81144,25482,3.1843654344242993,290964,64842,2.5446197315752297,v4_idblock_2,,0.664,,,,,,,
case_020,2,ok,532746,266580,1.9984469952734638,0,1095778,4.110503413609423,v4_idblock_4,,8.94,,,,,,,
