case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,116868,1.9946435294520313,1152,158664,1.357634254030188,paired_b_plan,0,0.158,116868,116868,1152,1152,1.0,0.0,0.0
case_001,5,ok,233110,47502,4.9073723211654245,4608,69458,1.4622121173845313,paired_b_plan,0,0.151,47502,47502,4608,4608,1.0,0.0,0.0
case_019,2,ok,81144,45299,1.7912978211439545,137280,68432,1.5106735248018721,paired_b_plan,0,0.205,45540,45299,137280,137280,1.0053202057440562,0.11817893161165459,0.11817893161165459
case_019,5,ok,81144,25413,3.1930114508322514,290964,64842,2.551528745130445,paired_b_plan,0,0.223,25482,25413,290964,290964,1.002715145791524,0.21811264038005748,0.21811264038005748
