scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,6,1,
A,5,6,1.7043862177676603,
B,1,6,1,
B,5,6,2.4260297807971196,
L2,1,6,1,1.072026823974623
L2,5,6,2.4820925183619225,1.0179072837415843
