case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,116868,1.9946435294520313,1152,158664,1.357634254030188,paired_b_plan,,0.16,116868,116868,1152,1152,1.0,0.0,0.0
case_001,3,ok,233110,78545,2.9678528232223567,2304,102846,1.3093895219301037,paired_b_plan,,0.148,78545,78545,2304,2304,1.0,0.0,0.0
case_001,4,ok,233110,58984,3.952088702020887,3456,88182,1.495015597450156,paired_b_plan,,0.149,58984,58984,3456,3456,1.0,0.0,0.0
case_001,5,ok,233110,47502,4.9073723211654245,4608,69458,1.4622121173845313,paired_b_plan,,0.151,47502,47502,4608,4608,1.0,0.0,0.0
case_002,2,ok,261945,137650,1.9029785688339993,537600,166937,1.212764257173992,paired_b_plan,,0.806,137650,137650,537600,537600,1.0,0.0,0.0
case_002,3,ok,261945,92929,2.818764863497939,519168,118615,1.2764045669274393,v3_seed,,1.022,92929,92929,519168,519168,1.0,0.0,0.0
case_002,4,ok,261945,72103,3.6329278948171364,771072,98050,1.3598601999916786,paired_b_plan,,0.755,72103,72103,771072,771072,1.0,0.0,0.0
case_002,5,ok,261945,58897,4.447510059935141,743424,89435,1.5184983955040154,paired_b_plan,,0.682,58897,58897,743424,743424,1.0,0.0,0.0
case_003,2,ok,602212,399243,1.5083846178893556,1590750,624948,1.5653323915510102,paired_b_plan,,7.758,399349,399243,1590750,1590750,1.000265502463412,0.19151572810535727,0.19151572810535727
case_003,3,ok,602212,384579,1.5658993340770038,2435992,624948,1.6250185267526307,paired_b_plan,,7.44,385935,384579,2435992,2435992,1.0035259335533142,0.28119352563075634,0.28119352563075634
case_003,4,ok,602212,366066,1.6450913223298531,4553662,598792,1.6357487447618735,paired_b_plan,,7.366,366574,366066,4553662,4553662,1.0013877278960626,0.3242646888878289,0.3242646888878289
case_003,5,ok,602212,353767,1.7022842718512468,4995328,614730,1.737669143814997,paired_b_plan,,7.063,355037,353767,4995328,4995328,1.0035899334872953,0.3383384501227245,0.3383384501227245
case_004,2,ok,392357,199074,1.9709103147573264,110592,289572,1.4545947738027065,paired_b_plan,,0.164,199074,199074,110592,110592,1.0,0.0,0.0
case_004,3,ok,392357,137467,2.854190460255916,221184,200727,1.4601831712338234,paired_b_plan,,0.16,137467,137467,221184,221184,1.0,0.0,0.0
case_004,4,ok,392357,104188,3.765855952700887,331776,160369,1.5392271662763466,paired_b_plan,,0.157,104188,104188,331776,331776,1.0,0.0,0.0
case_004,5,ok,392357,88341,4.441391879195391,442368,167273,1.8934922629356696,paired_b_plan,,0.149,88341,88341,442368,442368,1.0,0.0,0.0
case_005,2,ok,95618,65567,1.4583250720636907,623782,91434,1.3945124834139124,paired_b_plan,,1.336,65726,65567,623782,623782,1.0024250003812893,0.17449048696769562,0.17449048696769562
case_005,3,ok,95618,60994,1.5676623930222644,1037164,88011,1.44294520772535,paired_b_plan,,1.306,61658,60994,1037164,1037164,1.0108863166868873,0.31654565789828626,0.31654565789828626
case_005,4,ok,95618,59210,1.614896132410066,1288690,93152,1.5732477622023306,paired_b_plan,,1.303,60524,59210,1288690,1288690,1.0221921972639756,0.3786212590151748,0.3786212590151748
case_005,5,ok,95618,58185,1.6433445045974049,1404760,89779,1.54299218011515,paired_b_plan,,1.285,60107,58185,1404760,1404760,1.0330325685314083,0.42668816689889816,0.42668816689889816
