scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,100,1,
A,5,100,3.9556707547766807,
B,1,100,1,
B,5,100,4.453267061251328,
L2,1,100,1,1.0086217156663206
L2,5,100,4.566842224330466,1.0182072219210379
