case,cores,a_new_makespan,b_makespan,b_speedup,b_added_bytes,b_copy_amplification,b_active,b_groups,b_source,b_peak_L1,b_peak_UB,b_calls,b_valid,b_errors,b_cycle_errors,l2_makespan,l2_speedup,paired_makespan,cache_gain,paired_hit_rate,selected_hit_rate,selected_added_bytes,selected_source,l2_extra_search_gain,l2_calls,l2_errors
case_006,5,25968,30430,2.722214919487348,526640,1.9692499098183853,5,339,local1_fixed_2_move_193_1_18,49152,65542,72,42,30,12,29110,2.845654414290622,29653,1.026203082318821,0.3202176891959531,0.33702644599617626,526640,local1_paired_b_plan_swap_0_16,1.0186533837169358,73,31
case_007,2,507494,507154,1.9965572587419207,41472,1.023936170212766,2,1943,local1_fixed_2_move_14_1_0,35328,6144,72,51,21,0,506786,1.9980070483399304,507154,1.0,0.0016778523489932886,0.0016778523489932886,41472,local1_b_candidate_local1_fixed_2_move_28_1_0_merge_28_7,1.000726144763273,73,20
case_007,3,338094,339086,2.986151005939496,69120,1.0398936170212767,3,1943,local1_fixed_2_move_21_2_0,35328,6144,72,51,21,0,338726,2.9893247049237437,339086,1.0,0.0016286644951140066,0.0016286644951140066,69120,local1_b_candidate_local1_fixed_2_move_42_2_0_swap_0_13,1.0010628059257334,73,18
case_007,4,254398,255390,3.964767610321469,96768,1.0558510638297873,4,1943,local1_fixed_2_move_28_2_0,35328,6144,72,51,21,0,254610,3.9769137111660973,255390,1.0,0.0015822784810126582,0.0031397174254317113,110592,local1_b_candidate_local1_fixed_2_move_28_3_0_move_56_2_0,1.0030635088959585,73,18
case_007,5,203834,205580,4.925391575055939,110592,1.0638297872340425,5,1943,fixed_2,35328,6144,72,51,21,0,205580,4.925391575055939,205580,1.0,0.0,0.0,110592,b_candidate_local1_fixed_2_merge_111_140,1.0,73,18
case_008,2,244266,244266,1.9962049568912579,0,1.0,2,17,a_selected,36864,37056,72,72,0,0,244163,1.997047054631537,244266,1.0,0.0,0.0,0,local1_b_candidate_fixed_1_swap_0_15,1.0004218493383519,73,21
case_008,3,163359,163359,2.984867684057811,0,1.0,3,8,a_selected,36864,37056,72,72,0,0,163256,2.9867508697995784,163359,1.0,0.0,0.0,0,local1_b_candidate_fixed_1_swap_0_15,1.000630910961925,73,21
case_008,4,123060,123060,3.962335446123842,0,1.0,4,35,a_selected,36864,37056,72,72,0,0,122957,3.9656546597591027,123060,1.0,0.0,0.0,0,local1_b_candidate_fixed_1_swap_0_15,1.0008376912253878,73,21
case_008,5,100603,100500,4.851791044776119,0,1.0,5,864,local1_fixed_1_swap_0_15,36864,55488,72,51,21,0,100500,4.851791044776119,100500,1.0,0.0,0.0,0,b_candidate_local1_fixed_1_swap_0_23,1.0,73,20
case_009,2,92198,106315,1.4415745661477684,556948,2.1243933361866385,2,1419,local1_fixed_4_split_1358_1,41472,40968,44,32,12,12,106074,1.4448498218225012,106107,1.0019602853723129,0.10503473072665105,0.10503473072665105,556948,local1_b_candidate_local1_fixed_4_split_1358_2_split_1355_1,1.0003111035692065,45,10
