case,cores,old_makespan,new_makespan,old_speedup,new_speedup,speedup_delta,old_added_bytes,new_added_bytes,old_groups,new_groups,old_active,new_active,old_source,new_source
case_050,5,149507,108160,1.001224022955447,1.3839681952662721,0.38274417231082514,240956,38016,8,23,1,5,local2_fixed_768_split_2_1,components_total
case_051,2,607628,357955,1.0,1.6974982888910617,0.6974982888910617,0,9045258,1,72,1,2,local1_fixed_768_merge_0_1,a_affinity_64_bundle_2
case_051,3,607628,291222,1.0,2.086476983194951,1.086476983194951,0,9045304,1,96,1,3,local1_fixed_768_merge_0_1,a_affinity_64_bundle_3
case_051,4,607628,254308,1.0,2.389338911870645,1.3893389118706452,0,9045350,1,120,1,4,local1_fixed_768_merge_0_1,a_affinity_64_bundle_4
case_051,5,607628,253856,1.0,2.3935932182024455,1.3935932182024455,0,9045396,1,144,1,5,local1_fixed_768_merge_0_1,a_affinity_64_bundle_5
case_052,2,118900,90903,1.5164087468460892,1.9834438907406797,0.46703514389459055,3081610,102912,13,2,2,2,local1_adaptive_reuse_72_merge_9_10,a_affinity_64_bundle_2
case_052,3,111876,61071,1.611614644785298,2.952317794042999,1.3407031492577013,2822932,181248,127,3,3,3,local2_fixed_8_split_73_1,a_affinity_64_bundle_3
case_052,4,96848,45610,1.8616904840574922,3.9531023898267925,2.0914119057693004,2804500,254976,126,4,4,4,local1_fixed_8_move_87_1_0,a_affinity_64_bundle_4
case_052,5,95856,37387,1.8809568519445836,4.822558643378715,2.941601791434131,2804500,328704,126,5,5,5,local1_fixed_8_move_87_1_0,a_affinity_64_bundle_5
case_053,2,817566,731495,1.801305338039987,2.0132550461725645,0.2119497081325774,9989124,9989124,61,61,2,2,local1_fixed_192_move_5_0_0,a_refine1_move_2_0_6
case_053,3,628059,542159,2.344821107571104,2.7163359826176454,0.37151487504654135,9989124,5803072,61,3,3,3,local1_fixed_192_move_4_1_0,a_affinity_64_bundle_3
case_053,4,634341,492232,2.32159989658559,2.991853434965626,0.6702535383800359,9989124,6360992,61,4,4,4,local1_fixed_192_move_2_2_0,a_affinity_64_bundle_4
case_053,5,644191,492232,2.2861014823243417,2.991853434965626,0.7057519526412843,16625450,6360992,244,4,5,4,local1_fixed_48_move_36_4_0,a_affinity_64_bundle_4
case_054,2,809333,517960,1.0070650770449245,1.5735790408525754,0.5665139638076508,829954,49152,12,2,1,2,local1_fixed_1536_split_4_1,a_affinity_64_bundle_2
case_054,3,809333,517960,1.0070650770449245,1.5735790408525754,0.5665139638076508,829954,49152,12,2,1,2,local1_fixed_1536_split_4_1,a_affinity_64_bundle_2
case_054,4,809333,517986,1.0070650770449245,1.573500055986069,0.5664349789411445,829954,98304,12,3,1,3,local1_fixed_1536_split_4_1,a_affinity_64_bundle_3
case_054,5,809333,518015,1.0070650770449245,1.5734119668349371,0.5663468897900126,829954,147456,12,4,1,4,local1_fixed_1536_split_4_1,a_affinity_64_bundle_4
case_055,2,88012,64461,1.350213607235377,1.8435177859480927,0.4933041787127157,1569722,156242,77,14,2,2,local1_fixed_16_merge_0_1,a_affinity_64_bundle_2
case_055,3,85195,45305,1.3948588532190855,2.6229996689107162,1.2281408156916307,1569722,214104,77,19,3,3,local1_fixed_16_merge_0_1,a_affinity_64_bundle_3
case_055,4,83685,38408,1.4200274840174463,3.094016871485107,1.6739893874676608,2193810,271966,154,24,4,4,local1_fixed_8_merge_68_69,a_affinity_64_bundle_4
case_055,5,82783,30298,1.435500042279212,3.922206086210311,2.486706043931099,2192274,271966,154,24,5,5,local1_fixed_8_merge_0_3,a_affinity_64_bundle_4
case_056,2,275117,265710,1.0078802836611334,1.0435625305784502,0.03568224691731681,217400,0,5,19,1,2,local2_fixed_1536_split_0_1,a_affinity_64_bundle_0
case_056,3,275404,265710,1.0068299661588067,1.0435625305784502,0.036732564419643454,164498,0,4,2,1,2,local1_fixed_1536_merge_0_1,a_affinity_64_bundle_2
case_056,4,275404,265728,1.0068299661588067,1.0434918412813101,0.03666187512250341,164498,0,4,3,1,3,local1_fixed_1536_merge_0_1,a_affinity_64_bundle_3
case_056,5,275404,265746,1.0068299661588067,1.0434211615602869,0.03659119540148015,164498,0,4,4,1,4,local1_fixed_1536_merge_0_1,a_affinity_64_bundle_4
case_057,2,57084,30183,1.0462826711512858,1.9787960109995693,0.9325133398482834,1127964,22304,8,2,2,2,local1_adaptive_memory_96_merge_5_6,a_affinity_64_bundle_2
case_057,3,58207,20705,1.0260965176009758,2.884617242212026,1.8585207246110502,1911682,14112,30,3,3,3,local1_adaptive_memory_27_merge_27_30,a_affinity_64_bundle_3
case_057,4,59363,16485,1.006114920068056,3.6230512587200487,2.6169363386519926,323742,28224,3,4,1,4,local2_fixed_384_split_1_2,a_affinity_64_bundle_4
case_057,5,59363,14028,1.006114920068056,4.257627601938979,3.2515126818709232,323742,14112,3,5,1,5,local2_fixed_384_split_1_2,a_affinity_64_bundle_5
case_058,2,2842183,2233461,1.5972641452010654,2.032592912972288,0.43532876777122276,143687680,36298752,345,10,2,2,local1_fixed_48_merge_0_1,a_affinity_64_bundle_2
case_058,3,2556909,1499428,1.7754706952809036,3.0276325372075217,1.252161841926618,144089088,32858112,346,9,3,3,local1_fixed_48_move_0_2_0,a_affinity_64_bundle_3
case_058,4,2804920,1172561,1.618483593114955,3.871625442087874,2.253141848972919,143687680,45473792,345,12,4,4,local1_fixed_48_merge_0_1,a_affinity_64_bundle_4
case_058,5,2637591,1130935,1.7211603315297936,4.0141272486924535,2.29296691716266,143687680,34009088,345,10,5,5,local1_fixed_48_merge_0_1,a_affinity_64_bundle_5
case_059,2,401731,369318,2.0647473060331416,2.2459587672412393,0.18121146120809772,9617408,360448,171,2,2,2,local1_fixed_16_merge_0_1,a_affinity_64_bundle_2
case_059,3,295993,266217,2.8023399202008155,3.1157777301975456,0.3134378099967301,8953856,2998272,116,3,3,3,local2_fixed_24_split_0_1,a_affinity_64_bundle_3
case_059,4,216944,185216,3.8234429161442582,4.478408992743607,0.654966076599349,9650176,1081344,173,4,4,4,local2_fixed_16_split_0_2,a_affinity_64_bundle_4
case_059,5,216944,150782,3.8234429161442582,5.501140719714555,1.6776978035702967,9650176,4325376,173,5,4,5,local2_fixed_16_split_0_2,a_affinity_64_bundle_5
case_060,2,559996,463887,1.5871345509610784,1.915960136843671,0.3288255858825926,17794094,3675408,112,135,2,2,local1_fixed_48_split_33_1,a_affinity_64_bundle_2
case_060,3,563566,310745,1.5770805903833802,2.860187613638192,1.2831070232548119,17781806,4645024,111,148,3,3,fixed_48,a_affinity_64_bundle_3
case_060,4,563566,241329,1.5770805903833802,3.6828934773690687,2.1058128869856887,17781806,5183780,111,160,4,4,fixed_48,a_affinity_64_bundle_4
case_060,5,563566,196099,1.5770805903833802,4.532348456646898,2.955267866263518,17781806,5691684,111,171,4,5,fixed_48,a_affinity_64_bundle_5
case_061,2,76942,42478,1.003236203893842,1.817199491501483,0.813963287607641,1051200,34560,19,2,2,2,local1_adaptive_memory_52_merge_17_18,a_affinity_64_bundle_2
case_061,3,52538,30303,1.4692413110510487,2.5473055473055473,1.0780642362544985,843322,36096,69,3,3,3,local1_fixed_16_merge_3_4,a_affinity_64_bundle_3
case_061,4,49039,24024,1.574073696445686,3.213078588078588,1.6390048916329019,843322,70656,69,4,4,4,local1_fixed_16_merge_6_7,a_affinity_64_bundle_4
case_061,5,43318,22283,1.7819613093863982,3.46412063007674,1.6821593206903418,843322,82944,69,5,5,5,local1_fixed_16_merge_0_1,a_affinity_64_bundle_5
case_062,2,1549192,1534068,1.8427728777323922,1.8609403233754958,0.018167445643103575,11037696,9698304,25,24,2,2,local1_fixed_768_merge_0_2,a_refine1_merge_24_25
case_062,3,1065193,1050069,2.6800861440133383,2.7186870577076365,0.03860091369429819,11037696,9698304,25,24,3,3,local1_fixed_768_merge_0_3,a_refine1_merge_24_25
case_062,4,856235,838845,3.3341419119751,3.403261627595086,0.06911971561998609,12220416,11200512,51,50,4,4,local1_fixed_384_merge_0_4,a_refine1_merge_48_49
case_062,5,714795,697924,3.9938849600235033,4.090429616978353,0.09654465695484982,12220416,11200512,52,51,5,5,local1_fixed_384_move_0_3_0,a_refine1_merge_48_49
case_063,2,583695,583430,1.8338293115411302,1.834662255969011,0.000832944427880733,3836928,3836928,19,18,2,2,local1_fixed_384_merge_0_2,a_refine1_merge_0_4
case_063,3,407408,397832,2.6273342693319717,2.690575418769732,0.06324114943776049,4426752,3836928,38,37,3,3,local1_fixed_192_merge_0_3,a_refine1_merge_36_37
case_063,4,315863,306287,3.3888014740567907,3.494751654493988,0.10595018043719717,4426752,3836928,38,37,4,4,local1_fixed_192_merge_0_4,a_refine1_merge_36_37
case_063,5,263180,253604,4.06716695797553,4.220741786407155,0.1535748284316245,4426752,3836928,38,37,5,5,local1_fixed_192_merge_0_5,a_refine1_merge_36_37
case_064,2,18992,18871,1.0065290648694187,1.0129828837899422,0.006453818920523435,33648,24432,4,4,1,1,local2_fixed_768_split_0_2,a_refine2_split_2_1
case_064,3,18992,18926,1.0065290648694187,1.0100390996512734,0.003510034781854632,33648,16492,4,3,1,1,local2_fixed_768_split_0_2,a_refine1_merge_2_1
case_064,4,18992,18926,1.0065290648694187,1.0100390996512734,0.003510034781854632,33648,16492,4,3,1,1,local2_fixed_768_split_0_2,a_refine1_merge_2_1
case_064,5,18992,18926,1.0065290648694187,1.0100390996512734,0.003510034781854632,33648,16492,4,3,1,1,local2_fixed_768_split_0_2,a_refine1_merge_2_1
case_065,2,33410,26610,1.5883867105656988,1.9942878617061255,0.4059011511404267,43266,13968,5,2,2,2,local1_fixed_192_split_1_2,a_affinity_64_bundle_2
case_065,3,23513,18032,2.256964232552205,2.9429902395740903,0.6860260070218853,423040,27936,30,3,3,3,local1_fixed_24_move_1_2_0,a_affinity_64_bundle_3
case_065,4,19530,13541,2.7172555043522784,3.9190606306772025,1.201805126324924,423040,41904,30,4,4,4,local1_fixed_24_move_0_2_0,a_affinity_64_bundle_4
case_065,5,19376,11396,2.7388521882741537,4.656721656721657,1.917869468447503,414834,55872,29,5,5,5,local1_fixed_24_merge_14_15,a_affinity_64_bundle_5
case_066,2,353710,248092,1.0151536569506092,1.4473259919707206,0.43217233502011143,582452,1604052,9,224,1,2,local1_fixed_768_split_6_1,a_affinity_4096_bundle_2
case_066,3,353710,235631,1.0151536569506092,1.5238657052764704,0.5087120483258611,582452,1612740,9,227,1,3,local1_fixed_768_split_6_1,a_affinity_4096_bundle_3
case_066,4,354212,248396,1.0137149503687057,1.4455546788193046,0.4318397284505988,1934328,91200,14,28,1,4,local1_adaptive_reuse_479_split_3_1,a_affinity_64_bundle_0
case_066,5,351903,248521,1.02036640778851,1.4448276000820857,0.4244611922935757,2567914,91200,17,28,1,5,local1_adaptive_critical_384_split_3_2,a_affinity_64_bundle_0
