case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,123070,1.8941252945478184,6912,182077,1.4794588445600065,v4_idblock_96,,1.12,,,,,,,
case_001,3,ok,233110,84844,2.7475130828343786,3456,141636,1.6693696666823818,v4_idblock_192,,1.099,,,,,,,
case_001,4,ok,233110,68146,3.4207436973556775,13824,127586,1.8722448859801015,v4_idblock_48,,1.081,,,,,,,
case_001,5,ok,233110,51670,4.511515386104122,27648,109408,2.117437584671957,v4_idblock_24,,1.067,,,,,,,
case_002,2,ok,261945,144185,1.8167285085133682,586752,193846,1.3444255643790963,v4_idblock_768,,5.628,,,,,,,
case_002,3,ok,261945,105162,2.4908712272493867,829440,167198,1.5899089024552595,v3_seed,,5.366,,,,,,,
case_002,4,ok,261945,81685,3.2067699087959847,586752,159107,1.9478117157372834,v4_idblock_384,,5.344,,,,,,,
case_002,5,ok,261945,68943,3.7994430181454244,1075200,157345,2.282247653858985,v4_idblock_48,,5.313,,,,,,,
case_003,2,ok,602212,594418,1.013111985168686,3018596,660303,1.1108395102436333,v4_idblock_192,,40.037,,,,,,,
case_003,3,ok,602212,594418,1.013111985168686,3018596,660303,1.1108395102436333,v4_idblock_192,,39.535,,,,,,,
case_003,4,ok,602212,594418,1.013111985168686,3018596,684527,1.1515919773627312,v4_idblock_192,,39.737,,,,,,,
case_003,5,ok,602212,594418,1.013111985168686,3018596,659415,1.1093456120104035,v4_idblock_192,,39.513,,,,,,,
case_004,2,ok,392357,237239,1.6538469644535678,1588224,307433,1.2958788394825471,v3_seed,,1.474,,,,,,,
case_004,3,ok,392357,187674,2.0906305615055896,2064384,255169,1.3596395877958587,v4_idblock_48,,1.452,,,,,,,
case_004,4,ok,392357,147019,2.668750297580585,3118080,222242,1.5116549561621286,v3_seed,,1.462,,,,,,,
case_004,5,ok,392357,134700,2.912821083890126,4171776,200902,1.4914773570898292,v4_idblock_24,,1.472,,,,,,,
case_005,2,ok,95618,95865,0.9974234600740625,449524,109781,1.1451624680540342,v4_idblock_768,,18.564,,,,,,,
case_005,3,ok,95618,95865,0.9974234600740625,449524,103967,1.0845146821050435,v4_idblock_768,,18.169,,,,,,,
case_005,4,ok,95618,95865,0.9974234600740625,449524,117570,1.2264121420747927,v4_idblock_768,,18.168,,,,,,,
case_005,5,ok,95618,95865,0.9974234600740625,449524,118152,1.2324831794711313,v4_idblock_768,,18.551,,,,,,,
case_006,2,ok,82837,44875,1.845949860724234,25692,104240,2.3228969359331475,v4_idblock_192,,1.234,,,,,,,
case_006,3,ok,82837,44875,1.845949860724234,25692,102645,2.2873537604456824,v4_idblock_192,,1.211,,,,,,,
case_006,4,ok,82837,44875,1.845949860724234,25692,102645,2.2873537604456824,v4_idblock_192,,1.245,,,,,,,
case_006,5,ok,82837,44875,1.845949860724234,25692,102645,2.2873537604456824,v4_idblock_192,,1.283,,,,,,,
case_007,2,ok,1012562,538178,1.8814630103794656,1497600,780694,1.4506241429415547,v4_idblock_96,,18.587,,,,,,,
case_007,3,ok,1012562,355966,2.8445469511133084,755712,606998,1.7052134192591428,v4_idblock_192,,17.879,,,,,,,
