scene,cores,count,mean_speedup,mean_gain_over_v1,win_rate_over_v1,mean_paired_l2_speedup
A,1,3,1.0,,,
A,2,3,1.3362182653026702,1.2407283964268143,1.0,
A,4,3,1.8146341874725307,1.40077796042584,1.0,
B,1,3,1.0,,,
B,2,3,1.4087314848759942,1.1500808801281142,1.0,
B,4,3,1.995765702302372,1.221201331231602,1.0,
L2,1,3,1.0,,,1.0
L2,2,3,1.4087314848759942,1.1500808801281142,1.0,1.0
L2,4,3,1.995765702302372,1.210700669347761,1.0,1.0
