scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,1,1,
A,5,1,1.4752276585892885,
B,1,1,1,
B,5,1,2.623301770275834,
L2,1,1,1,1.0
L2,5,1,2.6377811508210294,1.0055195253208224
