case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,233110,116868,1.9946435294520313,1152,a_affinity_64_bundle_2,8.246,,,,,,,
case_001,3,233110,78545,2.9678528232223567,2304,a_affinity_64_bundle_3,7.606,,,,,,,
case_001,4,233110,58984,3.952088702020887,3456,a_affinity_64_bundle_4,8.182,,,,,,,
case_001,5,233110,47502,4.9073723211654245,4608,a_affinity_64_bundle_5,8.262,,,,,,,
case_002,2,261945,142820,1.83409186388461,540672,a_refine1_split_1_1,33.085,,,,,,,
case_002,3,261945,101777,2.573715082975525,709632,a_refine1_merge_17_18,27.68,,,,,,,
case_002,4,261945,80206,3.265902800289255,540672,local2_fixed_384_merge_0_4,31.155,,,,,,,
case_002,5,261945,64475,4.0627374951531605,927744,a_refine1_merge_35_36,28.246,,,,,,,
case_003,2,602212,538381,1.1185610190552786,98304,a_affinity_64_bundle_2,495.82,,,,,,,
case_003,3,602212,538381,1.1185610190552786,98304,a_affinity_64_bundle_2,491.215,,,,,,,
case_003,4,602212,538764,1.1177658492401126,196608,a_affinity_64_bundle_3,529.792,,,,,,,
case_003,5,602212,539155,1.1169552355074144,294912,a_affinity_64_bundle_4,531.361,,,,,,,
case_004,2,392357,199074,1.9709103147573264,110592,a_affinity_64_bundle_2,9.65,,,,,,,
case_004,3,392357,134043,2.927098020784375,221184,a_affinity_64_bundle_3,9.793,,,,,,,
case_004,4,392357,104188,3.765855952700887,331776,a_affinity_64_bundle_4,11.333,,,,,,,
case_004,5,392357,88341,4.441391879195391,442368,a_affinity_64_bundle_5,10.345,,,,,,,
case_005,2,95618,93418,1.0235500652979084,311474,a_refine1_merge_6_4,84.321,,,,,,,
case_005,3,95618,93760,1.019816552901024,437048,a_refine1_merge_6_4,84.607,,,,,,,
case_005,4,95618,93760,1.019816552901024,437048,a_refine1_merge_6_4,85.276,,,,,,,
case_005,5,95618,93760,1.019816552901024,437048,a_refine1_merge_6_4,86.051,,,,,,,
case_006,2,82837,44168,1.8754980981706213,25812,local2_fixed_192_split_3_1,7.947,,,,,,,
case_006,3,82837,32509,2.548125134578117,91264,components_total,8.708,,,,,,,
case_006,4,82837,28395,2.917309385455186,637516,a_affinity_64_bundle_3,8.278,,,,,,,
case_006,5,82837,25968,3.1899645717806533,477134,a_affinity_64_bundle_4,8.308,,,,,,,
case_007,2,1012562,507494,1.9952196479170197,27648,a_affinity_64_bundle_2,91.304,,,,,,,
case_007,3,1012562,338094,2.994912657426633,55296,a_affinity_64_bundle_3,84.298,,,,,,,
case_007,4,1012562,254398,3.980227831979811,82944,a_affinity_64_bundle_4,83.001,,,,,,,
case_007,5,1012562,203834,4.967581463347626,110592,a_affinity_64_bundle_5,91.23,,,,,,,
case_008,2,487605,244266,1.9962049568912579,0,a_affinity_64_bundle_2,13.731,,,,,,,
case_008,3,487605,163359,2.984867684057811,0,a_affinity_64_bundle_3,14.946,,,,,,,
case_008,4,487605,123060,3.962335446123842,0,a_affinity_64_bundle_4,14.217,,,,,,,
case_008,5,487605,100603,4.846823653370178,0,a_affinity_64_bundle_5,13.574,,,,,,,
case_009,2,153261,92198,1.66230286991041,0,a_affinity_64_bundle_2,143.551,,,,,,,
case_009,3,153261,92198,1.66230286991041,0,a_affinity_64_bundle_2,133.921,,,,,,,
case_009,4,153261,92207,1.6621406183912284,24576,a_affinity_64_bundle_3,139.132,,,,,,,
case_009,5,153261,92216,1.6619783985425522,49152,a_affinity_64_bundle_4,133.821,,,,,,,
case_010,2,86969,48318,1.7999296328490417,261490,a_affinity_64_bundle_2,7.273,,,,,,,
case_010,3,86969,30915,2.813165130195698,261490,a_affinity_64_bundle_2,7.041,,,,,,,
case_010,4,86969,26426,3.2910391281313855,309876,a_affinity_64_bundle_3,8.025,,,,,,,
case_010,5,86969,24576,3.5387776692708335,358262,a_affinity_64_bundle_4,8.249,,,,,,,
case_011,2,184697,92646,1.9935777043801135,180224,a_affinity_64_bundle_2,11.603,,,,,,,
case_011,3,184697,69625,2.6527396768402154,1081344,a_affinity_64_bundle_3,11.957,,,,,,,
case_011,4,184697,46880,3.9397824232081913,540672,a_affinity_64_bundle_4,15.229,,,,,,,
case_011,5,184697,46880,3.9397824232081913,540672,a_affinity_64_bundle_4,15.71,,,,,,,
case_012,2,59088,30058,1.965799454388183,29376,a_affinity_64_bundle_2,13.059,,,,,,,
case_012,3,59088,20661,2.8598809350951067,39168,a_affinity_64_bundle_3,13.42,,,,,,,
case_012,4,59088,15863,3.7248944083716826,49536,a_affinity_64_bundle_4,14.203,,,,,,,
case_012,5,59088,13406,4.407578696106221,53568,a_affinity_64_bundle_5,16.036,,,,,,,
case_013,2,263949,132198,1.9966187083011846,8192,a_affinity_64_bundle_2,43.7,,,,,,,
case_013,3,263949,88351,2.98750438591527,16384,a_affinity_64_bundle_3,39.646,,,,,,,
case_013,4,263949,66982,3.9405959810098237,24576,a_affinity_64_bundle_4,39.433,,,,,,,
case_013,5,263949,54363,4.855305998565201,32768,a_affinity_64_bundle_5,43.068,,,,,,,
case_014,2,17698626,8876630,1.9938451867431672,78205368,a_affinity_64_bundle_2,3314.558,,,,,,,
case_014,3,17698626,5961708,2.968717354154212,84667560,a_affinity_64_bundle_3,3062.762,,,,,,,
case_014,4,17698626,4520765,3.9149626224765055,91513752,a_affinity_64_bundle_4,3464.067,,,,,,,
case_014,5,17698626,3842627,4.605866247231386,165905592,a_affinity_64_bundle_0,3324.022,,,,,,,
case_015,2,177362,97138,1.8258765879470444,1124408,a_refine1_merge_3_4,12.346,,,,,,,
case_015,3,177362,68260,2.5983299150307646,901632,components_pipe,14.119,,,,,,,
case_015,4,177362,59806,2.9656221783767514,901632,components_pipe,15.49,,,,,,,
case_015,5,177362,49799,3.5615574609931926,901632,components_total,15.791,,,,,,,
case_016,2,7715523,4550194,1.6956470427414743,119554128,a_affinity_64_bundle_2,607.806,,,,,,,
case_016,3,7715523,3712678,2.0781557140155975,119554736,a_affinity_64_bundle_3,604.874,,,,,,,
case_016,4,7715523,3241338,2.380351262349067,119555344,a_affinity_64_bundle_4,582.765,,,,,,,
case_016,5,7715523,3223183,2.3937589023024755,119555952,a_affinity_64_bundle_5,584.067,,,,,,,
case_017,2,162810,81772,1.9910238223352736,87552,a_affinity_64_bundle_2,20.027,,,,,,,
case_017,3,162810,55389,2.939392298109733,175104,a_affinity_64_bundle_3,22.387,,,,,,,
case_017,4,162810,41209,3.9508359824310224,253440,a_affinity_64_bundle_4,23.169,,,,,,,
case_017,5,162810,34231,4.756215126639596,338688,a_affinity_64_bundle_5,22.974,,,,,,,
case_018,2,1004367,510696,1.9666631420649467,3253264,a_affinity_64_bundle_2,56.654,,,,,,,
case_018,3,1004367,345351,2.908249867526082,4093968,a_affinity_64_bundle_3,53.868,,,,,,,
case_018,4,1004367,258569,3.884328747839068,4938768,a_affinity_64_bundle_4,59.895,,,,,,,
case_018,5,1004367,209976,4.783246656760773,5345296,a_affinity_64_bundle_5,65.478,,,,,,,
case_019,2,81144,41382,1.960852544584602,27168,a_affinity_64_bundle_2,7.296,,,,,,,
case_019,3,81144,28657,2.831559479359319,54336,a_affinity_64_bundle_3,9.842,,,,,,,
case_019,4,81144,24099,3.3671106684924688,54336,a_affinity_64_bundle_4,12.028,,,,,,,
case_019,5,81144,24099,3.3671106684924688,54336,a_affinity_64_bundle_4,11.738,,,,,,,
case_020,2,532746,266956,1.9956322390206627,0,a_affinity_64_bundle_2,143.654,,,,,,,
case_020,3,532746,178464,2.985173480365788,0,a_affinity_64_bundle_3,147.906,,,,,,,
case_020,4,532746,133704,3.984518039849219,0,a_affinity_64_bundle_4,158.019,,,,,,,
case_020,5,532746,107650,4.948871342313051,0,a_affinity_64_bundle_5,154.97,,,,,,,
case_021,2,6567937,3162700,2.0766866917507194,18124800,a_affinity_64_bundle_0,157.535,,,,,,,
case_021,3,6567937,2144024,3.063369160046716,7766016,a_affinity_64_bundle_3,142.497,,,,,,,
