case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,121455,1.9193116792227574,1152,158664,1.306360380387798,v3_idblock_32,0.055,0.377,,,,,,,
case_001,3,ok,233110,84296,2.765374394989086,2304,103552,1.228433140362532,v3_idblock_32,0.055,0.365,,,,,,,
case_001,4,ok,233110,71177,3.2750748134931227,1404288,90390,1.2699327029798952,v2_memory_24,0.056,0.369,,,,,,,
case_001,5,ok,233110,60723,3.8389078273471338,1921536,71968,1.1851851851851851,v2_memory_24,0.055,0.361,,,,,,,
case_002,2,ok,261945,137914,1.8993358179735198,500736,166937,1.2104427396783504,v3_idblock_32,0.111,1.184,,,,,,,
case_002,3,ok,261945,92929,2.818764863497939,519168,118615,1.2764045669274393,v3_idblock_32,0.115,1.215,,,,,,,
case_002,4,ok,261945,72180,3.6290523690773067,660480,110720,1.5339429204765862,v3_idblock_32,0.116,1.257,,,,,,,
case_002,5,ok,261945,61331,4.2710048751854695,755712,103529,1.6880370448875772,v3_idblock_32,0.118,1.338,,,,,,,
case_003,2,ok,602212,571797,1.0531919544873443,111238,624948,1.0929543177036605,v3_idblock_128,1.163,15.942,,,,,,,
case_003,3,ok,602212,571797,1.0531919544873443,111238,624948,1.0929543177036605,v3_idblock_128,1.172,16.131,,,,,,,
case_003,4,ok,602212,571797,1.0531919544873443,111238,598792,1.0472108108297176,v3_idblock_128,1.479,16.476,,,,,,,
case_003,5,ok,602212,571797,1.0531919544873443,111238,614730,1.0750843393721898,v3_idblock_128,1.483,16.53,,,,,,,
case_004,2,ok,392357,220860,1.7764964230734401,3056640,291815,1.3212668658878928,v2_reuse_36,0.081,0.514,,,,,,,
case_004,3,ok,392357,169219,2.318634432303701,221184,202319,1.1956045124956418,v3_idblock_32,0.083,0.564,,,,,,,
case_004,4,ok,392357,118300,3.316627218934911,331776,163537,1.3823922231614538,v3_idblock_32,0.08,0.551,,,,,,,
case_004,5,ok,392357,118300,3.316627218934911,331776,169653,1.4340912933220626,v3_idblock_32,0.081,0.57,,,,,,,
case_005,2,ok,95618,90292,1.058986399681035,0,91434,1.0126478536304435,v3_idblock_32,0.426,2.551,,,,,,,
case_005,3,ok,95618,88011,1.0864323777709604,0,88011,1.0,v1,0.427,2.61,,,,,,,
case_005,4,ok,95618,90292,1.058986399681035,0,93152,1.0316750099676604,v3_idblock_32,0.435,2.598,,,,,,,
case_005,5,ok,95618,89263,1.0711941117820374,0,89779,1.0057806706026013,v2_critical_182,0.44,2.775,,,,,,,
case_006,2,ok,82837,41771,1.9831222618563118,8272,91555,2.191831653539537,v3_idblock_64,0.066,0.341,,,,,,,
case_006,3,ok,82837,41447,1.9986247496803147,16396,91232,2.2011725818515213,v3_idblock_32,0.067,0.34,,,,,,,
case_006,4,ok,82837,41447,1.9986247496803147,16396,91232,2.2011725818515213,v3_idblock_32,0.07,0.363,,,,,,,
case_006,5,ok,82837,41447,1.9986247496803147,16396,91232,2.2011725818515213,v3_idblock_32,0.068,0.374,,,,,,,
case_007,2,ok,1012562,525734,1.9259967968592482,27648,736174,1.4002784678183264,v3_idblock_32,0.465,4.169,,,,,,,
