case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,123070,1.8941252945478184,6912,182077,1.4794588445600065,v4_idblock_96,0,1.142,,,,,,,
case_001,5,ok,233110,51670,4.511515386104122,27648,109408,2.117437584671957,v4_idblock_24,0,1.091,,,,,,,
case_019,2,ok,81144,66800,1.2147305389221557,590480,83257,1.2463622754491017,v4_idblock_16,0,1.047,,,,,,,
case_019,5,ok,81144,51111,1.5876034513118507,1505248,83057,1.6250317935473773,v4_idblock_4,0,1.157,,,,,,,
