case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,5,233110,47502,4.9073723211654245,4608,4608,0,seed_reference_a_affinity_64_bundle_5,0.094,,,,,,,
case_001,2,233110,116868,1.9946435294520313,1152,1152,0,seed_reference_a_affinity_64_bundle_2,0.062,,,,,,,
case_001,3,233110,78545,2.9678528232223567,2304,2304,0,seed_reference_a_affinity_64_bundle_3,0.078,,,,,,,
case_001,4,233110,58984,3.952088702020887,3456,3456,0,seed_reference_a_affinity_64_bundle_4,0.078,,,,,,,
case_002,5,261945,64143,4.083765960432159,927744,927744,0,round4_round3_round2_round1_polish_seed_reference_a_refine1_merge_35_36_critical_order_merge_0_5_merge_0_10_merge_0_15_merge_0_20,0.125,,,,,,,
case_002,2,261945,142820,1.83409186388461,540672,540672,0,round1_seed_reference_a_refine1_split_1_1_merge_1_4,0.125,,,,,,,
case_002,3,261945,98332,2.6638835780824146,717312,717312,0,round4_round3_round2_round1_polish_seed_reference_a_refine1_merge_17_18_critical_order_splitmove_0_18_2_0_merge_10_13_split_0_1_merge_10_16,0.125,,,,,,,
case_002,4,261945,80206,3.265902800289255,540672,,,local2_fixed_384_merge_0_4,0.125,,,,,,,
case_003,5,602212,509581,1.1817787554873513,1864570,1864570,0,round4_round3_round2_round1_structure_affinity_4096_bundle_5_merge_83_91_merge_82_83_splitmove_82_108_2_0_move_54_1_12,0.64,,,,,,,
case_003,2,602212,531346,1.1333707226552943,1262098,1262098,0,round4_round3_round2_round1_structure_affinity_64_bundle_0_worksplit_0_1_9_worksplit_0_1_9_placement_splitmove_0_12_1_0,0.656,,,,,,,
case_003,3,602212,516699,1.1654986752441945,1691884,1691884,0,round4_round3_round2_round1_structure_affinity_4096_bundle_3_batchmerge_2_worksplit_92_1_17_swap_0_10_worksplit_86_0_17,0.688,,,,,,,
case_003,4,602212,509216,1.182625840507761,2105740,2105740,0,round4_round3_round2_round1_structure_affinity_4096_bundle_4_split_86_1_split_106_1_split_106_1_split_106_1,0.672,,,,,,,
case_004,5,392357,88341,4.441391879195391,442368,442368,0,seed_reference_a_affinity_64_bundle_5,0.094,,,,,,,
case_004,2,392357,199074,1.9709103147573264,110592,110592,0,seed_reference_a_affinity_64_bundle_2,0.063,,,,,,,
case_004,3,392357,134043,2.927098020784375,221184,221184,0,seed_reference_a_affinity_64_bundle_3,0.078,,,,,,,
case_004,4,392357,104188,3.765855952700887,331776,331776,0,seed_reference_a_affinity_64_bundle_4,0.078,,,,,,,
case_005,5,95618,55047,1.7370247243264847,1804938,1804938,0,fork_separators_3,0.235,,,,,,,
case_005,2,95618,93418,1.0235500652979084,311474,311474,0,seed_reference_a_refine1_merge_6_4,0.203,,,,,,,
case_005,3,95618,93714,1.0203171351132168,437912,437912,0,round2_round1_polish_seed_reference_a_refine1_merge_6_4_placement_merge_0_1_split_0_2,0.218,,,,,,,
case_005,4,95618,93714,1.0203171351132168,437912,437912,0,round2_round1_polish_seed_reference_a_refine1_merge_6_4_placement_merge_0_1_split_0_2,0.218,,,,,,,
case_006,5,82837,25014,3.3116254897257535,492494,492494,0,round2_round1_seed_reference_a_affinity_64_bundle_4_merge_35_5_worksplit_6_1_7,0.079,,,,,,,
case_006,2,82837,44168,1.8754980981706213,25812,25812,0,seed_reference_local2_fixed_192_split_3_1,0.062,,,,,,,
case_006,3,82837,30917,2.67933499369279,51840,51840,0,round6_round5_round4_round3_round2_round1_polish_seed_reference_components_total_placement_merge_10_3_merge_10_5_merge_10_6_merge_10_7_merge_10_18_merge_10_19,0.079,,,,,,,
case_006,4,82837,27434,3.0195013486914046,637516,637516,0,round2_round1_seed_reference_a_affinity_64_bundle_3_swap_0_1_merge_11_4,0.078,,,,,,,
case_007,5,1012562,203834,4.967581463347626,110592,110592,0,seed_reference_a_affinity_64_bundle_5,0.203,,,,,,,
case_007,2,1012562,507494,1.9952196479170197,27648,27648,0,seed_reference_a_affinity_64_bundle_2,0.203,,,,,,,
case_007,3,1012562,338094,2.994912657426633,55296,55296,0,seed_reference_a_affinity_64_bundle_3,0.188,,,,,,,
case_007,4,1012562,254398,3.980227831979811,82944,82944,0,seed_reference_a_affinity_64_bundle_4,0.203,,,,,,,
case_008,5,487605,100603,4.846823653370178,0,0,0,seed_reference_a_affinity_64_bundle_5,0.094,,,,,,,
case_008,2,487605,244266,1.9962049568912579,0,0,0,seed_reference_a_affinity_64_bundle_2,0.078,,,,,,,
case_008,3,487605,163359,2.984867684057811,0,0,0,seed_reference_a_affinity_64_bundle_3,0.079,,,,,,,
case_008,4,487605,123060,3.962335446123842,0,0,0,seed_reference_a_affinity_64_bundle_4,0.093,,,,,,,
case_009,5,153261,91910,1.6675116962245675,177970,177970,0,round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_4_split_0_1_split_0_1_worksplit_3_1_0_merge_0_5,0.281,,,,,,,
case_009,2,153261,91844,1.668709986498846,40364,40364,0,round4_round1_seed_reference_a_affinity_64_bundle_2_split_0_1_split_0_2,0.25,,,,,,,
case_009,3,153261,91844,1.668709986498846,40364,40364,0,round4_round1_seed_reference_a_affinity_64_bundle_2_split_0_1_split_0_2,0.234,,,,,,,
case_009,4,153261,91814,1.66925523340667,64940,64940,0,round4_round1_seed_reference_a_affinity_64_bundle_3_split_0_1_split_0_2,0.282,,,,,,,
case_010,5,86969,21260,4.0907337723424275,358262,358262,0,round1_seed_reference_a_affinity_64_bundle_4_move_4_2_0,0.094,,,,,,,
case_010,2,86969,44326,1.962031313450345,58752,58752,0,round5_round4_round3_round2_round1_structure_components_total_batchmerge_4_splitmove_16_35_0_0_merge_16_21_batchmerge_2_merge_18_34,0.063,,,,,,,
case_010,3,86969,29856,2.9129488210075025,48384,48384,0,round2_round1_seed_reference_a_affinity_64_bundle_2_batchmerge_4_merge_2_6,0.078,,,,,,,
case_010,4,86969,26426,3.2910391281313855,309876,309876,0,seed_reference_a_affinity_64_bundle_3,0.079,,,,,,,
case_011,5,184697,46880,3.9397824232081913,540672,,,a_affinity_64_bundle_4,0.078,,,,,,,
case_011,2,184697,92646,1.9935777043801135,180224,180224,0,seed_reference_a_affinity_64_bundle_2,0.063,,,,,,,
case_011,3,184697,65076,2.83817382752474,1527808,1527808,0,round6_round5_round4_round3_round2_round1_structure_components_total_worksplit_0_1_5_merge_10_13_merge_12_15_merge_10_16_merge_1_4_batchmerge_2,0.078,,,,,,,
case_011,4,184697,46880,3.9397824232081913,540672,540672,0,seed_reference_a_affinity_64_bundle_4,0.078,,,,,,,
case_012,5,59088,13406,4.407578696106221,53568,53568,0,seed_reference_a_affinity_64_bundle_5,0.093,,,,,,,
case_012,2,59088,29156,2.026615447935245,41672,41672,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_2_split_1_1_split_1_1_merge_3_2,0.078,,,,,,,
case_012,3,59088,20661,2.8598809350951067,39168,39168,0,seed_reference_a_affinity_64_bundle_3,0.078,,,,,,,
case_012,4,59088,15705,3.7623686723973258,70046,70046,0,round6_round3_round1_seed_reference_a_affinity_64_bundle_4_split_0_1_split_1_2_merge_0_4,0.094,,,,,,,
case_013,5,263949,54363,4.855305998565201,32768,32768,0,seed_reference_a_affinity_64_bundle_5,0.125,,,,,,,
case_013,2,263949,132198,1.9966187083011846,8192,8192,0,seed_reference_a_affinity_64_bundle_2,0.125,,,,,,,
case_013,3,263949,88351,2.98750438591527,16384,16384,0,seed_reference_a_affinity_64_bundle_3,0.125,,,,,,,
case_013,4,263949,66982,3.9405959810098237,24576,24576,0,seed_reference_a_affinity_64_bundle_4,0.125,,,,,,,
case_014,5,17698626,3678370,4.811540437748242,148864992,147321312,1543680,round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_0_batchmerge_4_move_220_1_0_merge_262_281_worksplit_0_2_66,1.406,,,,,,,
case_014,2,17698626,8804960,2.0100745488906253,77892024,41401176,36490848,round2_round1_seed_reference_a_affinity_64_bundle_2_swap_0_0_merge_10_11,1.469,,,,,,,
case_014,3,17698626,5936896,2.9811244798628778,84667560,50521776,34145784,round1_seed_reference_a_affinity_64_bundle_3_swap_0_0,1.125,,,,,,,
case_014,4,17698626,4494341,3.9379802289145394,91068312,55171080,35897232,round2_round1_seed_reference_a_affinity_64_bundle_4_swap_0_0_merge_0_6,1.297,,,,,,,
case_015,5,177362,40931,4.3331948889594685,354816,354816,0,round5_round4_round3_round2_round1_polish_seed_reference_components_total_critical_order_batchmerge_4_merge_15_42_merge_17_35_merge_17_21_placement,0.109,,,,,,,
case_015,2,177362,94897,1.8689948048937268,1039912,1039912,0,round5_round3_round2_round1_polish_seed_reference_a_refine1_merge_3_4_placement_merge_0_1_merge_10_11_merge_10_12_merge_10_13,0.078,,,,,,,
case_015,3,177362,58855,3.013541755160989,226560,226560,0,round5_round4_round3_round2_round1_polish_seed_reference_components_pipe_placement_batchmerge_4_merge_13_19_merge_13_36_merge_13_44_merge_13_26,0.094,,,,,,,
case_015,4,177362,45695,3.88143122879965,345856,329472,16384,round6_round5_round4_round3_round2_round1_polish_seed_reference_components_pipe_placement_batchmerge_4_merge_12_41_merge_12_27_swap_0_0_merge_16_31_merge_16_40,0.094,,,,,,,
case_016,5,7715523,3222794,2.394047835511671,119555954,119555954,0,round1_seed_reference_a_affinity_64_bundle_5_split_12_2,0.812,,,,,,,
case_016,2,7715523,4550193,1.695647415395347,119554128,119554128,0,round1_seed_reference_a_affinity_64_bundle_2_split_0_1,0.907,,,,,,,
case_016,3,7715523,3712678,2.0781557140155975,119554736,119554736,0,seed_reference_a_affinity_64_bundle_3,0.734,,,,,,,
case_016,4,7715523,3241241,2.3804224986664058,119555344,119555344,0,round1_seed_reference_a_affinity_64_bundle_4_split_0_2,0.828,,,,,,,
case_017,5,162810,33154,4.910719671834469,388910,388910,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_1_split_0_1_split_0_1,0.109,,,,,,,
case_017,2,162810,78486,2.074382692454705,143424,143424,0,round2_round1_seed_reference_a_affinity_64_bundle_2_split_1_1_split_0_1,0.078,,,,,,,
case_017,3,162810,53546,3.040563254024577,207948,207948,0,round2_round1_seed_reference_a_affinity_64_bundle_3_split_1_1_split_0_1,0.094,,,,,,,
case_017,4,162810,39980,4.072286143071536,260352,260352,0,round4_round3_round2_round1_structure_components_pipe_batchmerge_4_merge_0_26_merge_0_30_merge_0_50,0.109,,,,,,,
case_018,5,1004367,200515,5.008936987257811,7372560,7372560,0,round6_round4_round3_round2_round1_structure_affinity_64_bundle_0_batchmerge_4_merge_19_38_merge_20_39_merge_19_57_batchmerge_2,0.157,,,,,,,
