case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,5,233110,47502,4.9073723211654245,4608,,,b_candidate_fixed_1,0.188,47502,47502,4608,4608,1.0,0.0,0.0
case_002,5,261945,53938,4.856409210575105,502272,502272,0,paired_b_plan,0.531,53938,53938,502272,502272,1.0,0.003121748178980229,0.003121748178980229
case_003,5,602212,163121,3.6918115999779304,4637476,4637476,0,paired_b_plan,25.234,178279,163121,4637476,4637476,1.0929248839818295,0.331265426276678,0.331265426276678
case_004,5,392357,84801,4.626796853810686,1523712,1486848,36864,paired_b_plan,1.532,84957,84801,1523712,1523712,1.001839600948102,0.13572854291417166,0.13572854291417166
case_005,5,95618,38452,2.486684697805056,1344888,1344888,0,paired_b_plan,3.843,39919,38452,1344888,1344888,1.0381514615624674,0.4928404843186731,0.4928404843186731
case_006,5,82837,18391,4.504214017726062,656000,656000,0,round4_round3_round2_round1_structure_affinity_4096_bundle_5_merge_10_16_merge_0_9_boundary_1014_49_boundary_1016_50,2.016,20406,19038,372608,372608,1.0718562874251496,0.3105977216339938,0.371397740481388
case_007,5,1012562,203834,4.967581463347626,110592,110592,0,b_candidate_round1_seed_reference_a_affinity_64_bundle_5_split_0_2,0.406,203834,203834,110592,110592,1.0,0.0,0.0
case_008,5,487605,54300,8.979834254143647,0,0,0,round2_round1_b_candidate_round1_polish_seed_reference_local1_fixed_1_swap_0_15_memory_order_merge_0_40_merge_0_80_memory_order,0.203,54403,54403,0,0,1.0,0.0,0.0
case_009,5,153261,39187,3.9110164085028196,846860,846860,0,paired_b_plan,9.016,40119,39187,846860,846860,1.0237833975553117,0.4810895946294862,0.4810895946294862
case_010,5,86969,18418,4.7219567814094905,347112,347112,0,round1_b_candidate_round5_round4_round1_structure_affinity_64_bundle_0_merge_1_8_tensorlocal_123_3_move_28_1_0_swap_0_1,1.062,18797,18797,347112,347112,1.0,0.33596667113458745,0.338767783920409
case_011,5,184697,43781,4.218656494826523,2195456,2195456,0,best_cache_order,2.015,46742,46742,1044480,1044480,1.0,0.27370030581039756,0.4442508710801394
case_012,5,59088,11971,4.935928493860162,49536,49536,0,b_candidate_round2_round1_structure_components_pipe_move_13_4_0_merge_13_4,0.187,11971,11971,49536,49536,1.0,0.06980091148956584,0.06980091148956584
case_013,5,263949,53698,4.915434466833029,45056,45056,0,round5_round1_b_candidate_round2_round1_seed_reference_fixed_4_worksplit_490_1_0_boundary_2954_492_split_0_1_worksplit_482_3_49,0.266,53862,53756,40960,40960,1.0019718729072105,0.009940357852882704,0.009930486593843098
case_014,5,17698626,3548627,4.987457402539066,81025320,39319392,41705928,polish_b_candidate_round1_polish_seed_reference_a_affinity_64_bundle_0_memory_order_merge_0_5_memory_order,2.984,3638039,3580487,81859368,81859368,1.016073791079258,0.29419618012695253,0.27456954795937755
case_015,5,177362,37813,4.690503266072515,334656,334656,0,round1_b_candidate_round4_round3_round2_round1_structure_components_pipe_move_10_4_0_move_12_0_0_worksplit_38_4_4_boundary_509_46_boundary_505_46,3.219,40026,39378,331776,331776,1.016455889075118,0.08419266306984209,0.11144955689145852
case_016,5,7715523,2086321,3.6981476004890905,641460,641460,0,best_placement,40.078,2088414,2086616,412104,412104,1.0008616822644896,0.49635872924928004,0.5631180262656754
case_017,5,162810,31011,5.250072554899874,338688,338688,0,round2_round1_paired_b_plan_split_2_1_split_3_1,0.234,32855,32855,338688,338688,1.0,0.050098076689791556,0.047461335811381476
case_018,5,1004367,200516,5.008912007021883,5181456,4706320,475136,round1_b_candidate_round3_round2_round1_seed_reference_a_affinity_64_bundle_5_split_5_2_split_3_1_merge_9_10_swap_2_0,0.328,200560,200560,5181456,5181456,1.0,0.5132059962999945,0.5138106572676528
case_019,5,81144,17271,4.698280354351224,645524,645524,0,depth_islands_4,2.265,17941,17905,322112,322112,1.0020106115610166,0.07026328040138623,0.22502522361541885
case_020,5,532746,107491,4.956191681164005,28672,28672,0,polish_b_candidate_round1_structure_components_total_split_0_1_placement,0.609,107650,107650,0,0,1.0,0.0,0.0
case_021,5,6567937,1241101,5.292024581399902,9420800,9420800,0,b_candidate_round2_round1_structure_components_total_memory_order_merge_25_30,0.438,1241101,1241101,9420800,9420800,1.0,0.0,0.0
case_022,5,56780,11656,4.871310912834591,20736,20736,0,round1_b_candidate_round1_seed_reference_components_total_merge_1_8_swap_1_1,0.219,11828,11828,20736,20736,1.0,0.08851098704092608,0.08851098704092608
case_023,5,122614,23635,5.187814681616247,270912,270912,0,round3_round2_round1_b_candidate_round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_2_split_5_1_split_4_1_split_7_1_split_8_1_split_3_1_split_10_1,0.187,24171,24171,270912,270912,1.0,0.20996434214520152,0.20996434214520152
case_024,5,2555343,693205,3.6862731803723285,628816,628816,0,best_placement,9.672,695298,693500,399456,399456,1.0025926459985581,0.49878412061523497,0.5654868620658884
case_025,5,4863026,970378,5.011475940303676,165888,165888,0,round4_round3_round2_round1_b_candidate_round2_round1_polish_seed_reference_fixed_4_memory_order_splitmove_3_4666_2_0_merge_0_35_splitmove_0_4667_3_0_boundary_23_4666_splitmove_0_4668_2_0_boundary_9_4668,1.829,970612,970612,124416,124416,1.0,0.0003621876131836291,0.016570605187319884
case_026,5,99203,22922,4.327850972864497,518764,518764,0,best_placement,1.453,24692,23963,412296,412296,1.0304219004298294,0.4300601282469586,0.4415258308223067
case_027,5,2363952,487545,4.848684736793527,5267456,5267456,0,round4_round3_round2_round1_b_candidate_round4_round3_round2_round1_structure_components_total_splitmove_0_16_1_0_swap_1_0_worksplit_11_3_3_merge_10_15_critical_order_boundary_1372_11_boundary_1374_11_boundary_1376_11,0.25,487545,487545,5341184,5341184,1.0,0.3894035900405327,0.33963911525029106
case_028,5,43836040,8290909,5.2872417246408085,99858432,97572864,2285568,round4_round3_round2_round1_paired_b_plan_placement_tensorlocal_1000000506_2_boundary_61_306_boundary_63_459,1.828,8330567,8318613,95330304,95330304,1.0014370184067944,0.12312787723785167,0.12838387683180533
case_029,5,37555,8510,4.413043478260869,16388,16388,0,b_candidate_round3_round2_round1_structure_components_total_move_10_1_0_worksplit_11_0_4_merge_12_17,2.031,8510,8510,16388,16388,1.0,0.0,0.0
case_030,5,2808034,559072,5.022669709804819,8753152,7480320,1272832,round4_round3_round2_round1_paired_b_plan_worksplit_481_4_97_boundary_9265_481_boundary_9266_481_boundary_9269_481,0.922,559921,559444,8736768,8736768,1.0008526322563116,0.43555064863372894,0.4352303024731084
case_031,5,1414369,304220,4.649165077904148,8389136,6155792,2233344,round2_round1_structure_affinity_64_bundle_0_cache_order_boundary_6552_110,9.594,304971,304971,7528704,7528704,1.0,0.5041244574574472,0.6236600580214042
case_032,5,41443,9857,4.204423252510906,109712,109712,0,depth_islands_8,3.093,10025,10017,12404,12404,1.0007986423080764,0.04239584548154957,0.053906031509275656
case_033,5,1774196,353276,5.02212434470499,7854240,6548128,1306112,paired_b_plan,0.391,353755,353276,7854240,7854240,1.0013558803881384,0.3121012658227848,0.3121012658227848
case_034,5,842996,159438,5.287296629410806,3481600,3481600,0,round5_round2_round1_paired_b_plan_move_1_2_14_boundary_2649_155_worksplit_153_2_30,0.453,159947,159779,3479552,3479552,1.001051452318515,0.4663247292995844,0.4780673588813366
case_035,5,169571,41605,4.07573608941233,756810,756810,0,paired_b_plan,8.813,41673,41605,756810,756810,1.0016344189400312,0.4730465562286351,0.4730465562286351
case_036,5,931510,187182,4.976493466252097,4608,,,b_candidate_fixed_1,0.344,187182,187182,4608,4608,1.0,0.0,0.0
case_037,5,210001,43013,4.882268151489085,1925120,1925120,0,b_candidate_round1_seed_reference_a_affinity_64_bundle_5_split_0_2,0.172,43800,43013,1925120,1925120,1.0182967939925138,0.6425,0.6425
case_038,5,1364555,270642,5.041918844820834,9544704,8567808,976896,round1_seed_reference_a_affinity_64_bundle_5_split_0_2,0.563,274469,272533,9742848,9742848,1.00710372688812,0.3690964873485804,0.3363482751326868
case_039,5,1435262,321304,4.466990762642233,24055808,21266432,2789376,best_cache_order,11.453,335425,334691,11079680,11079680,1.0021930676355206,0.22493224932249323,0.5722275487376158
case_040,5,253454,95766,2.6465969133095255,2131694,1672940,458754,paired_b_plan,9.125,99865,95766,2131694,2131694,1.0428022471440803,0.3476600620900476,0.3476600620900476
case_041,5,6003957,1192216,5.0359641205955965,28887040,18749440,10137600,round4_round3_round2_round1_b_candidate_round2_round1_structure_affinity_64_bundle_0_memory_order_merge_11_61_worksplit_492_0_98_boundary_15929_492_boundary_15930_492_worksplit_493_3_98,1.453,1195827,1193160,28809216,28809216,1.002235240872976,0.24897624897624898,0.25046196722304687
case_042,5,1686740,342168,4.929566762526011,10274868,7374900,2899968,round5_round2_round1_b_candidate_round5_round4_round3_round2_round1_structure_affinity_64_bundle_0_tensorlocal_1000005220_0_boundary_4780_2_tensorlocal_1000005222_2_tensorlocal_1000005208_1_merge_40_45_merge_31_40_boundary_4779_1_boundary_4783_8,0.531,347330,342311,10274872,10274872,1.014662105512239,0.4346578942121485,0.4699013858267069
case_043,5,677656,149315,4.53843217359274,4904632,4904632,0,paired_b_plan,17.516,155978,149315,4904632,4904632,1.0446237819375146,0.5055998568886403,0.5055998568886403
case_044,5,154407,73055,2.1135719663267403,153568,153568,0,round3_round2_round1_paired_b_plan_split_42_2_boundary_550_55_tensorlocal_1000000725_1,2.984,73856,73850,157376,157376,1.0000812457684496,0.001394700139470014,0.0016764979819931698
case_045,5,125614,26164,4.801024308209754,0,0,0,b_candidate_round1_seed_reference_a_affinity_64_bundle_5_split_2_2,0.25,26164,26164,0,0,1.0,0.0,0.0
case_046,5,276455,68859,4.014798356060936,4319616,4319616,0,depth_islands_16,2.828,91339,81434,3216768,3216768,1.1216322420610556,0.3920191990965131,0.4208793942602716
case_047,5,326508,95862,3.4060211554109032,2187352,2187352,0,paired_b_plan,27.312,97905,95862,2187352,2187352,1.0213118858358892,0.556204059551024,0.556204059551024
case_048,5,222220,99405,2.2355012323323775,1176024,1176024,0,b_candidate_round5_round4_round3_round1_polish_seed_reference_a_chains_8_placement_merge_1200_1205_merge_227_229_placement_merge_1199_1227,3.469,99538,99405,1176024,1176024,1.0013379608671595,0.17515632475338944,0.17515632475338944
case_049,5,196276,50132,3.91518391446581,784036,784036,0,best_cache_order,10.141,51126,50173,784036,784036,1.01899427979192,0.41408749109980375,0.4086067068405606
case_050,5,149690,37311,4.011953579373375,725536,725536,0,paired_b_plan,11.766,38325,37311,725536,725536,1.0271769719385704,0.46885632993077553,0.46885632993077553
case_051,5,607628,167667,3.6240166520543697,394680,394680,0,round6_round2_round1_structure_chains_8_tensorlocal_1000000035_2_merge_0_5_tensorlocal_1000000039_2,2.328,169451,169132,328912,328912,1.0018861007970106,0.45434864562197164,0.4997103526075888
case_052,5,180301,37386,4.8226876370834,328704,328704,0,paired_b_plan,0.187,37386,37386,328704,328704,1.0,0.26032800935764544,0.26032800935764544
case_053,5,1472686,388254,3.793099362788278,11465848,8128024,3337824,paired_b_plan,22.953,423976,388254,11465848,11465848,1.0920067790673116,0.2772560822357921,0.2772560822357921
case_054,5,815051,203131,4.012440247918831,2691224,2691224,0,paired_b_plan,31.547,207790,203131,2691224,2691224,1.0229359378922962,0.34122688387023237,0.34122688387023237
case_055,5,118835,23812,4.990550982697799,198656,198656,0,round1_b_candidate_round4_round3_round2_round1_structure_components_pipe_swap_0_0_move_13_1_0_move_9_1_0_merge_0_22_swap_0_0,0.219,23813,23813,198656,198656,1.0,0.22111050187542156,0.22111050187542156
case_056,5,277285,67871,4.08547096698148,1191952,1191952,0,paired_b_plan,13.235,68423,67871,1191952,1191952,1.0081330759823783,0.5301825911523799,0.5301825911523799
case_057,5,59726,14028,4.257627601938979,0,0,0,b_candidate_round3_round2_round1_structure_components_total_tensorlocal_1831_2_tensorlocal_3_4_merge_10_11,3.047,14028,14028,0,0,1.0,0.0,0.0
case_058,5,4539717,900112,5.043502364150239,32202752,18571264,13631488,round4_round3_round2_round1_polish_b_candidate_round1_structure_components_total_splitmove_0_255_1_0_memory_order_boundary_1090_0_boundary_1091_0_boundary_1092_0_boundary_1094_0,1.438,935251,920546,32198656,32198656,1.0159742153026574,0.6113104030386157,0.5774677658000422
case_059,5,829473,150459,5.512950371862102,4409344,4409344,0,round2_round1_paired_b_plan_swap_0_0_boundary_2943_60,0.344,150598,150598,4417536,4417536,1.0,0.7271358675197591,0.7532956685499058
case_060,5,888789,169109,5.25571672708135,3694976,3686784,8192,round4_round3_round2_round1_polish_paired_b_plan_cache_order_merge_3_26_worksplit_53_1_19_boundary_4953_53_boundary_4955_53,0.547,177085,174910,3602816,3602816,1.0124349665542278,0.4776025581842392,0.593675577943164
case_061,5,77191,18977,4.0676081572429785,110080,110080,0,depth_islands_32,2.813,19261,19261,211548,211548,1.0,0.11581601108924755,0.11831553695196523
