case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,5,233110,47502,4.9073723211654245,4608,,,b_candidate_fixed_1,0.156,47502,47502,4608,4608,1.0,0.0,0.0
case_001,2,233110,116868,1.9946435294520313,1152,,,b_candidate_fixed_2,0.141,116868,116868,1152,1152,1.0,0.0,0.0
case_001,3,233110,78545,2.9678528232223567,2304,,,b_candidate_local1_fixed_1_merge_0_1,0.141,78545,78545,2304,2304,1.0,0.0,0.0
case_001,4,233110,58984,3.952088702020887,3456,,,b_candidate_fixed_2,0.171,58984,58984,3456,3456,1.0,0.0,0.0
case_002,5,261945,57825,4.529961089494163,628224,628224,0,round5_round4_round3_round2_round1_b_candidate_round4_round3_round2_round1_polish_seed_reference_a_refine1_merge_35_36_critical_order_boundary_1999_0_boundary_2000_0_boundary_2002_1_boundary_90_33_boundary_2001_0_boundary_89_33_merge_25_30_boundary_2004_1_boundary_2005_2,0.25,57833,57833,632832,632832,1.0,0.0,0.0029940119760479044
case_002,2,261945,132112,1.9827494852852126,3663360,2895360,768000,round3_round1_b_candidate_round6_round3_round2_round1_structure_affinity_4096_bundle_2_memory_order_merge_1400_1401_boundary_20_1196_swap_0_0_swap_0_1_splitmove_1400_1401_0_696,0.235,132316,132316,3251712,3251712,1.0,0.187973086627418,0.17794585987261147
case_002,3,261945,90135,2.9061407888167747,1082880,1082880,0,round2_round1_polish_b_candidate_round3_round2_round1_structure_affinity_4096_bundle_3_move_1401_0_476_merge_1397_1401_merge_1394_1397_cache_order_swap_0_10_splitmove_1394_1401_1_469,0.266,90809,90800,669696,669696,1.0000991189427313,0.011560693641618497,0.015332197614991482
case_002,4,261945,70416,3.7199642126789367,594432,594432,0,round5_round2_round1_b_candidate_round4_round3_round2_round1_polish_seed_reference_fixed_24_placement_boundary_1999_0_boundary_2002_2_boundary_90_66_boundary_2004_3_swap_0_0_boundary_89_66_boundary_2005_4,0.25,70425,70425,583680,583680,1.0,0.0,0.0
case_003,5,602212,246212,2.445908404139522,12911172,12911172,0,round1_b_candidate_round3_round2_round1_structure_chains_32_boundary_13533_9782_boundary_13532_9700_merge_8131_8136_merge_8131_8180,1.438,280288,246395,12911172,12911172,1.1375555510460846,0.27761797978055053,0.28171889807044015
case_003,2,602212,340619,1.7679929774909797,6563284,6563284,0,b_candidate_round2_round1_structure_chains_32_swap_0_1_boundary_13581_9774,1.453,341263,340620,6563284,6563284,1.0018877341318773,0.08596311548133541,0.08596311548133541
case_003,3,602212,265307,2.2698684919734498,9569564,9569564,0,round2_round1_b_candidate_round3_round2_round1_structure_chains_32_move_8131_2_1613_boundary_13533_9782_swap_0_0_split_9784_1_boundary_13534_9782,1.469,275946,265619,9581852,9581852,1.0388789958549651,0.2174462268744578,0.21764881966038754
case_003,4,602212,245606,2.4519433564326603,11062890,11062890,0,b_candidate_round1_structure_chains_8_merge_8131_8135,1.484,267957,245606,11062890,11062890,1.0910034771137513,0.24403785649336515,0.24403785649336515
case_004,5,392357,85158,4.60740036168064,470016,470016,0,b_candidate_round1_polish_seed_reference_local1_fixed_2_move_35_1_0_critical_order_merge_0_70,0.187,85158,85158,470016,470016,1.0,0.0033783783783783786,0.0033783783783783786
case_004,2,392357,197516,1.9864567933737014,1167360,970752,196608,round5_round4_round1_b_candidate_round2_round1_polish_seed_reference_local1_fixed_2_move_14_1_0_placement_boundary_18_5_boundary_49_20_swap_0_103_worksplit_384_0_195_boundary_113_48,0.141,197572,197572,1167360,1167360,1.0,0.14136125654450263,0.14136125654450263
case_004,3,392357,134043,2.927098020784375,221184,221184,0,b_candidate_round1_seed_reference_a_affinity_64_bundle_3_split_0_2,0.141,134043,134043,221184,221184,1.0,0.0,0.0
case_004,4,392357,100673,3.897340895771458,347136,347136,0,round2_round1_b_candidate_round3_round2_round1_polish_seed_reference_fixed_2_memory_order_merge_168_196_splitmove_168_389_3_0_swap_0_1_boundary_453_197_swap_0_0,0.172,102024,102024,359424,359424,1.0,0.0038461538461538464,0.18992248062015504
case_005,5,95618,38452,2.486684697805056,1344888,1344888,0,paired_b_plan,0.469,39919,38452,1344888,1344888,1.0381514615624674,0.4928404843186731,0.4928404843186731
case_005,2,95618,62870,1.5208843645617942,844806,844806,0,round5_round4_round3_round2_round1_b_candidate_round5_round4_round3_round2_round1_polish_seed_reference_local1_fixed_4_merge_327_328_placement_swap_0_0_boundary_2688_654_boundary_695_3_merge_1002_1003_merge_1002_1004_move_1002_0_332_boundary_2689_654_boundary_696_3_merge_997_998_boundary_122_8,0.453,63706,63596,814470,814470,1.001729668532612,0.14306365013078795,0.17244108466352057
case_005,3,95618,60646,1.5766579823896052,1032556,1032556,0,round2_round1_b_candidate_round4_round3_round2_round1_seed_reference_local1_fixed_4_swap_0_7_boundary_115_3_boundary_116_3_boundary_696_3_swap_0_10_boundary_695_3_boundary_697_3,0.485,61356,60743,1037164,1037164,1.010091697808801,0.3217110388598614,0.31363912483482626
case_005,4,95618,58990,1.6209187997965757,1281778,1281778,0,round2_round1_seed_reference_local1_paired_b_plan_swap_0_6_boundary_114_3_boundary_115_3,0.469,60426,59215,1279474,1279474,1.020450899265389,0.3740695056782629,0.3863877783918408
case_006,5,82837,18391,4.504214017726062,656000,656000,0,round4_round3_round2_round1_structure_affinity_4096_bundle_5_merge_10_16_merge_0_9_boundary_1014_49_boundary_1016_50,0.172,20406,19038,372608,372608,1.0718562874251496,0.3105977216339938,0.371397740481388
