case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_005,5,95618,39919,2.395300483479045,1344888,1344888,0,fork_separators_3,13.844,,,,,,,
case_009,5,153261,39161,3.9136130333750416,807580,807580,0,fork_rebundle_10,10.64,,,,,,,
case_040,5,253454,89366,2.836134547814605,1820868,1820868,0,depth_shift_6_0,9.64,,,,,,,
case_049,5,196276,51084,3.8422206561741445,751332,751332,0,fork_rebundle_10,13.485,,,,,,,
case_064,5,19116,7096,2.69391206313416,91026,91026,0,fork_spread_0.25,3.187,,,,,,,
case_068,5,362095,111299,3.253353579097746,3115592,3115592,0,current_a,9.766,,,,,,,
