case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,133087,1.7515610089640612,1266816,158664,1.1921825572745648,paired_b_plan,0.288,0.545,138202,133087,1266816,1266816,1.0384335059021543,0.25334358186010764,0.25334358186010764
case_001,4,ok,233110,71177,3.2750748134931227,1404288,88182,1.2389114461132107,paired_b_plan,0.285,0.541,71177,71177,1404288,1404288,1.0,0.26565685988930965,0.26565685988930965
case_019,2,ok,81144,66614,1.2181223166301378,98304,68432,1.027291560332663,paired_b_plan,0.238,0.392,66614,66614,98304,98304,1.0,0.01777376633745856,0.01777376633745856
case_019,4,ok,81144,64842,1.2514111224206532,135168,64842,1.0,paired_b_plan,0.169,0.326,64842,64842,135168,135168,1.0,0.0,0.0
case_035,2,ok,169571,170752,0.9930835363568216,72936,176020,1.0308517616191903,paired_b_plan,1.255,2.676,170752,170752,72936,72936,1.0,0.011745651585433557,0.011745651585433557
case_035,4,ok,169571,169199,1.0021985945543412,0,173090,1.0229965898143607,paired_b_plan,1.255,2.709,169199,169199,0,0,1.0,0.0,0.0
