case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,153898,1.5147045445684804,2490240,182077,1.1831017946951876,v2_memory_43,0.058,0.387,,,,,,,
case_001,4,ok,233110,96061,2.426687209169174,2508928,127586,1.3281768876026692,v2_memory_32,0.059,0.408,,,,,,,
case_019,2,ok,81144,78470,1.0340767172167706,1256064,83257,1.0610042054288262,v2_reuse_72,0.064,0.296,,,,,,,
case_019,4,ok,81144,78470,1.0340767172167706,1256064,83057,1.0584554606856122,v2_reuse_72,0.066,0.319,,,,,,,
case_035,2,ok,169571,172837,0.9811035831448127,487576,184607,1.0680988445761035,v2_memory_427,0.396,1.783,,,,,,,
case_035,4,ok,169571,171766,0.9872209866911962,604736,187076,1.0891328900946637,v2_memory_310,0.404,1.788,,,,,,,
