scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,100,1,
A,2,100,1.7916203380557858,
A,3,100,2.4792809655462964,
A,4,100,3.0911235854510757,
A,5,100,3.5619389934782926,
