case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_005,5,95618,55047,1.7370247243264847,1804938,1804938,0,fork_separators_3,8.813,,,,,,,
case_009,5,153261,64848,2.3633882309400445,1123002,1123002,0,fork_rebundle_4,13.828,,,,,,,
case_040,5,253454,110033,2.3034362418547163,920376,920376,0,fork_separators_4,10.609,,,,,,,
case_049,5,196276,60840,3.226101249178172,1101054,1101054,0,fork_separators_3,13.312,,,,,,,
case_064,5,19116,12958,1.4752276585892885,150202,150202,0,fork_separators_3,2.125,,,,,,,
case_068,5,362095,142950,2.5330185379503325,3891930,3891930,0,fork_rebundle_4,12.578,,,,,,,
