case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_015,3,177362,91805,1.9319427046457165,1820888,local1_fixed_1_swap_0_5,8.275,,,,,,,
case_015,4,177362,79873,2.2205501233207716,2235226,local1_fixed_1_move_28_0_0,8.94,,,,,,,
case_015,5,177362,75499,2.3491966781016966,2365878,fixed_1,8.228,,,,,,,
case_016,2,7715523,4027025,1.9159362060081573,404200,fixed_1,227.549,,,,,,,
case_016,3,7715523,3030137,2.5462620997004426,609332,fixed_1,239.158,,,,,,,
case_016,4,7715523,2395892,3.2203133530225903,744064,local1_fixed_1_swap_0_3,235.518,,,,,,,
case_016,5,7715523,2090062,3.6915282895914094,546240,fixed_1,217.77,,,,,,,
case_017,2,162810,77229,2.1081459037408226,150152,local1_fixed_16_move_71_0_22,10.604,,,,,,,
case_017,3,162810,58288,2.793199286302498,308288,local1_fixed_24_move_2_1_12,11.143,,,,,,,
case_017,4,162810,53838,3.02407221664995,336960,local1_a_selected_move_2_1_12,10.546,,,,,,,
case_017,5,162810,53838,3.02407221664995,307148,local1_a_selected_move_2_2_13,10.426,,,,,,,
case_018,2,1004367,517800,1.9396813441483198,2104948,fixed_4,28.681,,,,,,,
case_018,3,1004367,344821,2.9127199329507194,3051736,fixed_4,29.524,,,,,,,
case_018,4,1004367,263616,3.8099622177713037,4799752,local1_fixed_2_move_363_2_0,29.792,,,,,,,
case_018,5,1004367,215899,4.6520224734713915,4034540,local1_fixed_2_swap_0_16,27.394,,,,,,,
case_019,2,81144,45280,1.7920494699646643,150336,local1_fixed_2_move_54_1_0,3.55,,,,,,,
case_019,3,81144,34150,2.37610541727672,247160,local1_fixed_2_move_26_1_0,3.676,,,,,,,
case_019,4,81144,28282,2.8691040237606957,275800,local1_fixed_2_move_54_0_0,4.349,,,,,,,
case_019,5,81144,25482,3.1843654344242993,290964,fixed_2,4.299,,,,,,,
case_020,2,532746,266580,1.9984469952734638,0,fixed_4,66.644,,,,,,,
case_020,3,532746,181764,2.930976430976431,0,fixed_4,64.599,,,,,,,
case_020,4,532746,139273,3.8251922483180514,0,fixed_4,68.869,,,,,,,
case_020,5,532746,115022,4.631687851019805,0,fixed_4,68.005,,,,,,,
case_021,2,6567937,3214106,2.043472430591897,35590144,local1_fixed_1_move_0_1_0,67.41,,,,,,,
case_021,3,6567937,2230404,2.944729744028436,43739136,fixed_1,65.038,,,,,,,
case_021,4,6567937,1738549,3.7778267969438883,53135360,local1_fixed_1_swap_0_10,69.734,,,,,,,
case_021,5,6567937,1387229,4.734573022911142,59209728,local1_fixed_1_swap_0_13,82.488,,,,,,,
case_022,2,56780,39773,1.4276016393030448,144620,fixed_8,9.311,,,,,,,
case_022,3,56780,31562,1.798998796020531,262156,local1_a_selected_move_18_2_0,10.299,,,,,,,
case_022,4,56780,32088,1.769508850660683,433318,local1_fixed_2_move_465_1_0,11.144,,,,,,,
case_022,5,56780,29686,1.9126861146668463,427478,local1_fixed_2_swap_0_23,10.203,,,,,,,
case_023,2,122614,82193,1.4917815385738444,822416,local1_fixed_1_move_904_1_249,7.182,,,,,,,
case_023,3,122614,62012,1.9772624653292912,993034,local1_fixed_1_swap_0_17,8.074,,,,,,,
case_023,4,122614,52816,2.3215313541351104,965658,local1_fixed_1_swap_0_19,8.448,,,,,,,
case_023,5,122614,46643,2.6287760221255065,1076390,local1_fixed_1_move_494_2_0,8.395,,,,,,,
case_024,2,2555343,1335245,1.9137633917370969,396856,fixed_1,50.024,,,,,,,
case_024,3,2555343,1004417,2.5441056851885224,596276,fixed_1,57.458,,,,,,,
case_024,4,2555343,797552,3.2039829377896365,728560,local1_fixed_1_swap_0_3,58.131,,,,,,,
case_024,5,2555343,696946,3.666486356188284,531552,fixed_1,55.967,,,,,,,
case_025,2,4863026,2432174,1.9994564533623005,27648,local1_fixed_1_move_1_0_0,351.673,,,,,,,
case_025,3,4863026,1623962,2.994544207315196,55296,fixed_4,328.911,,,,,,,
case_025,4,4863026,1219268,3.9884799732298397,82944,fixed_4,304.831,,,,,,,
case_025,5,4863026,978930,4.967695340831316,110592,fixed_4,284.35,,,,,,,
case_026,2,99203,60836,1.6306627654678152,402636,local1_fixed_2_merge_19_20,4.502,,,,,,,
case_026,3,99203,45428,2.1837413049220746,530996,local1_fixed_2_merge_13_14,5.368,,,,,,,
case_026,4,99203,39505,2.511150487280091,688292,local1_fixed_2_move_17_1_0,4.581,,,,,,,
case_026,5,99203,37307,2.659098828638057,660744,local1_fixed_2_move_279_2_37,4.924,,,,,,,
case_027,2,2363952,1120962,2.10886006840553,1744896,fixed_2,11.726,,,,,,,
case_027,3,2363952,839330,2.8164750455720635,2953216,local1_fixed_2_move_0_2_0,12.257,,,,,,,
case_027,4,2363952,559196,4.227412213249022,1843200,fixed_2,11.74,,,,,,,
case_027,5,2363952,559163,4.227661701507432,3317760,fixed_2,12.275,,,,,,,
case_028,2,43836040,22103658,1.9832029612474098,284769720,local1_fixed_1_merge_501_512,379.91,,,,,,,
case_028,3,43836040,15001681,2.922075199439316,278956272,local1_a_selected_move_17_0_0,334.856,,,,,,,
case_028,4,43836040,11557427,3.7928891958391775,280580088,local1_a_selected_move_1_3_0,300.623,,,,,,,
case_028,5,43836040,10575290,4.145138336631903,278820000,local1_fixed_16_move_3_3_0,298.675,,,,,,,
case_029,2,37555,23800,1.5779411764705882,487584,local1_a_selected_move_3_1_0,7.512,,,,,,,
case_029,3,37555,22853,1.6433291033999913,43054,local1_fixed_8_swap_0_1,7.056,,,,,,,
case_029,4,37555,18514,2.028464945446689,180550,fixed_2,5.963,,,,,,,
case_029,5,37555,16225,2.314637904468413,59452,local1_a_selected_move_19_3_0,7.459,,,,,,,
case_030,2,2808034,1426431,1.9685733133954604,7211524,local1_a_selected_move_64_1_0,107.266,,,,,,,
case_030,3,2808034,988944,2.839426701613034,7492120,fixed_16,112.622,,,,,,,
case_030,4,2808034,749038,3.7488538632218926,8482584,local1_a_selected_split_14_1,105.254,,,,,,,
case_030,5,2808034,624499,4.496458761343092,9372552,local1_a_selected_move_64_0_0,115.798,,,,,,,
case_031,2,1414369,763891,1.8515324830375015,5468662,local1_fixed_16_move_78_1_0,57.358,,,,,,,
case_031,3,1414369,559854,2.5263175756536524,14045048,fixed_4,68.493,,,,,,,
case_031,4,1414369,461687,3.0634802366105176,7474218,local1_fixed_16_move_19_2_0,63.396,,,,,,,
case_031,5,1414369,407625,3.4697798221404477,7905324,local1_fixed_16_move_11_1_0,63.654,,,,,,,
case_032,2,41443,22200,1.8668018018018018,82032,fixed_24,6.432,,,,,,,
case_032,3,41443,14073,2.9448589497619557,82032,local1_fixed_24_merge_29_30,6.348,,,,,,,
case_032,4,41443,14073,2.9448589497619557,82032,local1_fixed_24_merge_29_30,6.193,,,,,,,
