case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,5,233110,47502,4.9073723211654245,4608,,,b_candidate_fixed_1,0.016,47502,47502,4608,4608,1.0,0.0,0.0
case_002,5,261945,53938,4.856409210575105,502272,502272,0,paired_b_plan,0.015,53938,53938,502272,502272,1.0,0.003121748178980229,0.003121748178980229
case_003,5,602212,161212,3.7355283725777237,4463396,4463396,0,paired_b_plan,29.516,175554,161212,4463396,4463396,1.0889636007245118,0.3493464037303818,0.3493464037303818
case_004,5,392357,82871,4.734551290560027,3849216,3849216,0,local_move_1_0_0,4.796,82871,82871,3852288,3852288,1.0,0.18599791013584116,0.301255230125523
case_005,5,95618,38452,2.486684697805056,1344888,1344888,0,paired_b_plan,2.765,39919,38452,1344888,1344888,1.0381514615624674,0.4928404843186731,0.4928404843186731
case_006,5,82837,18391,4.504214017726062,656000,656000,0,round4_round3_round2_round1_structure_affinity_4096_bundle_5_merge_10_16_merge_0_9_boundary_1014_49_boundary_1016_50,1.453,20406,19038,372608,372608,1.0718562874251496,0.3105977216339938,0.371397740481388
case_007,5,1012562,203834,4.967581463347626,110592,110592,0,b_candidate_round1_seed_reference_a_affinity_64_bundle_5_split_0_2,0.032,203834,203834,110592,110592,1.0,0.0,0.0
case_008,5,487605,54300,8.979834254143647,0,0,0,round2_round1_b_candidate_round1_polish_seed_reference_local1_fixed_1_swap_0_15_memory_order_merge_0_40_merge_0_80_memory_order,0.016,54403,54403,0,0,1.0,0.0,0.0
case_009,5,153261,38418,3.9893018897391848,807580,807580,0,paired_b_plan,12.265,39161,38418,807580,807580,1.0193398927586028,0.46532412285836944,0.46532412285836944
case_010,5,86969,18418,4.7219567814094905,347112,347112,0,round1_b_candidate_round5_round4_round1_structure_affinity_64_bundle_0_merge_1_8_tensorlocal_123_3_move_28_1_0_swap_0_1,1.5,18797,18797,347112,347112,1.0,0.33596667113458745,0.338767783920409
case_011,5,184697,43781,4.218656494826523,2195456,2195456,0,best_cache_order,1.765,46742,46742,1044480,1044480,1.0,0.27370030581039756,0.4442508710801394
case_012,5,59088,11971,4.935928493860162,49536,49536,0,b_candidate_round2_round1_structure_components_pipe_move_13_4_0_merge_13_4,0.015,11971,11971,49536,49536,1.0,0.06980091148956584,0.06980091148956584
case_013,5,263949,53698,4.915434466833029,45056,45056,0,round5_round1_b_candidate_round2_round1_seed_reference_fixed_4_worksplit_490_1_0_boundary_2954_492_split_0_1_worksplit_482_3_49,0.015,53862,53756,40960,40960,1.0019718729072105,0.009940357852882704,0.009930486593843098
case_014,5,17698626,3548627,4.987457402539066,81025320,39319392,41705928,polish_b_candidate_round1_polish_seed_reference_a_affinity_64_bundle_0_memory_order_merge_0_5_memory_order,0.312,3638039,3580487,81859368,81859368,1.016073791079258,0.29419618012695253,0.27456954795937755
case_015,5,177362,37813,4.690503266072515,334656,334656,0,round1_b_candidate_round4_round3_round2_round1_structure_components_pipe_move_10_4_0_move_12_0_0_worksplit_38_4_4_boundary_509_46_boundary_505_46,3.328,40026,39378,331776,331776,1.016455889075118,0.08419266306984209,0.11144955689145852
case_016,5,7715523,2086321,3.6981476004890905,641460,641460,0,best_placement,82.328,2088414,2086616,412104,412104,1.0008616822644896,0.49635872924928004,0.5631180262656754
