scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,6,1,
A,5,6,2.273032773806506,
B,1,6,1,
B,5,6,3.1557557271791237,
L2,1,6,1,1.0
L2,5,6,3.2595822092026885,1.0302781857683765
