scene,cores,count,mean_speedup,mean_paired_l2_speedup
B,1,1,1,
B,2,1,1.408799469378731,
B,5,1,2.69391206313416,
L2,1,1,1,1.0
L2,2,1,1.4115040980580373,1.0008113291045877
L2,5,1,2.7026721334652906,1.0032518026297186
