case,status,makespan,added_copy_bytes,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,evaluation_seconds
case_091,ok,9186769,53947008,9186769,9168820,53947008,53947008,1.001957612866214,0.10538579237748164,555.374
case_092,ok,4815554,66000096,4815554,4333631,66000096,66000096,1.111205361047122,0.7935495964003455,135.914
case_093,ok,74205,0,74205,74205,0,0,1.0,0.0,0.256
case_094,ok,94892,0,94892,94892,0,0,1.0,0.0,0.212
case_095,ok,2084853,0,2084853,2084853,0,0,1.0,0.0,6.835
case_096,ok,84194,0,84194,84194,0,0,1.0,0.0,0.412
case_097,ok,11491509,10584064,11491509,11491509,10584064,10584064,1.0,0.0,17.797
case_098,ok,177430,0,177430,177430,0,0,1.0,0.0,0.525
case_099,ok,1622999,5484544,1622999,1618902,5484544,5484544,1.002530727616619,0.25235465023466686,10.798
case_100,ok,151223,0,151223,151223,0,0,1.0,0.0,0.535
