case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_041,5,6003957,1195827,5.020757183104245,28809216,18683904,10125312,round1_structure_affinity_64_bundle_0_memory_order,0.078,,,,,,,
case_042,5,1686740,347330,4.856303803299456,10274872,7374904,2899968,round4_round3_round2_round1_structure_affinity_64_bundle_0_tensorlocal_1000005220_0_boundary_4780_2_tensorlocal_1000005222_2_tensorlocal_1000005208_1,0.015,,,,,,,
case_043,5,677656,154760,4.378754200051693,4730208,4730208,0,fork_rebundle_4,0.047,,,,,,,
case_044,5,154407,73856,2.090649371750433,157376,157376,0,round5_round4_round3_round2_round1_polish_seed_reference_local1_adaptive_critical_25_move_42_1_0_placement_splitmove_55_56_1_0_splitmove_0_57_2_0_move_42_3_0_splitmove_7_58_4_0_boundary_672_56,0.015,,,,,,,
case_045,5,125614,26164,4.801024308209754,0,0,0,round1_seed_reference_a_affinity_64_bundle_5_split_2_1,0.015,,,,,,,
case_046,5,276455,91339,3.0266917745979263,3216768,3216768,0,round6_round4_round3_round2_round1_structure_chains_8_tensorlocal_1000000055_0_tensorlocal_1000000043_1_tensorlocal_1000000053_3_boundary_62_32_tensorlocal_1000000059_2,0.0,,,,,,,
case_047,5,326508,97905,3.334947142638272,2187352,2187352,0,fork_separators_3,0.062,,,,,,,
case_048,5,222220,99538,2.2325142156764253,1176024,1176024,0,round4_round3_round1_polish_seed_reference_a_chains_8_placement_merge_1200_1205_merge_227_229_placement,0.016,,,,,,,
case_049,5,196276,51084,3.8422206561741445,751332,751332,0,fork_rebundle_10,0.015,,,,,,,
case_050,5,149690,37271,4.016259290064662,711724,711724,0,fork_rebundle_10,0.016,,,,,,,
case_051,5,607628,169438,3.586137702286382,328912,328912,0,local_move_1_4_0,0.015,,,,,,,
case_052,5,180301,37386,4.8226876370834,328704,328704,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,0.015,,,,,,,
case_053,5,1472686,383863,3.8364885388797565,8846040,5031384,3814656,fork_rebundle_4,0.047,,,,,,,
case_054,5,815051,204298,3.989520210672645,2497432,2497432,0,fork_rebundle_4,0.078,,,,,,,
case_055,5,118835,23813,4.990341410154118,198656,198656,0,round3_round2_round1_structure_components_pipe_swap_0_0_move_13_1_0_move_9_1_0,0.015,,,,,,,
case_056,5,277285,68423,4.052511582362656,1191952,1191952,0,fork_separators_3,0.031,,,,,,,
case_057,5,59726,12929,4.6195374738958925,390432,390432,0,depth_shift_12_0,0.0,,,,,,,
case_058,5,4539717,935251,4.854009244577124,32198656,18518016,13680640,round1_structure_components_total_move_0_1_0,0.062,,,,,,,
case_059,5,829473,150598,5.507861990199073,4417536,4417536,0,round4_round3_round2_round1_structure_components_total_worksplit_63_4_12_boundary_3072_63_worksplit_60_4_13_boundary_2944_65,0.016,,,,,,,
case_060,5,888789,177085,5.01899652709151,3602816,3594624,8192,round2_round1_structure_components_total_critical_order_move_14_4_0,0.015,,,,,,,
case_061,5,77191,19261,4.007632002492082,211548,211548,0,depth_islands_8,0.016,,,,,,,
case_062,5,2854809,560646,5.091999229460301,13532160,13243392,288768,local_placement,0.078,,,,,,,
case_063,5,1070397,221197,4.839111742021817,506880,506880,0,depth_shift_20_10,0.031,,,,,,,
case_064,5,19116,7096,2.69391206313416,91026,91026,0,fork_spread_0.25,0.0,,,,,,,
case_065,5,53068,10888,4.8739897134459955,55872,55872,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_2,0.0,,,,,,,
case_066,5,359070,93865,3.825387524636446,2245486,2245486,0,fork_separators_3,0.031,,,,,,,
case_067,5,63834834,12503907,5.105191041488072,114722304,114722304,0,polish_seed_reference_local1_fixed_1_move_4_1_0_placement,0.063,,,,,,,
case_068,5,362095,111299,3.253353579097746,3115592,3115592,0,current_a,0.031,,,,,,,
case_069,5,25144,10111,2.4867965582039364,287250,287250,0,current_a,0.0,,,,,,,
case_070,5,117300,26271,4.464999429028206,449024,449024,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,0.015,,,,,,,
case_071,5,18919,7489,2.526238483108559,248850,248850,0,local_move_7_3_0,0.0,,,,,,,
case_072,5,23897828,4717309,5.0659874093471515,113566384,39838384,73728000,round5_round4_round3_round2_round1_polish_seed_reference_a_affinity_64_bundle_0_memory_order_worksplit_475_4_96_worksplit_476_1_96_worksplit_477_0_95_worksplit_475_1_0_worksplit_478_1_98,0.125,,,,,,,
case_073,5,10081626,1795381,5.61531285003016,21319168,21319168,0,depth_islands_2,0.015,,,,,,,
case_074,5,1682239,340184,4.94508560073372,8613888,7438336,1175552,round2_round1_structure_components_pipe_placement_swap_0_0,0.016,,,,,,,
case_075,5,1441809,340428,4.23528323169657,6041112,6041112,0,local_worksplit_523_0_104,0.047,,,,,,,
case_076,5,6185113,1240011,4.987950106894213,40553472,16297984,24255488,fork_separators_3,0.14,,,,,,,
case_077,5,495320,112046,4.420684361779983,1446302,1446302,0,fork_rebundle_10,0.032,,,,,,,
case_078,5,2296143,482490,4.7589442268233535,12326400,12326400,0,round5_round4_round3_round2_round1_structure_chains_8_split_10_1_boundary_66_32_merge_168_173_boundary_171_376_boundary_170_376,0.0,,,,,,,
case_079,5,31052251,6004186,5.171766997224936,41480192,24158208,17321984,round3_round2_round1_polish_seed_reference_a_affinity_64_bundle_0_memory_order_worksplit_235_3_57_worksplit_286_4_57_boundary_16399_288,0.078,,,,,,,
case_080,5,292138,96421,3.0298171560137312,3764224,3764224,0,local_move_4_0_0,0.016,,,,,,,
case_081,5,151795,30943,4.905632937982743,0,0,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,0.015,,,,,,,
case_082,5,721041,198995,3.6234126485590092,6334646,6334646,0,depth_islands_2,0.016,,,,,,,
case_083,5,1057993,209091,5.059964321754642,8922496,8922496,0,depth_islands_8,0.016,,,,,,,
case_084,5,2507412,255133,9.827862330627555,18432,18432,0,round2_round1_seed_reference_local1_fixed_1_move_7_2_1720_move_15_3_1720_memory_order,0.063,,,,,,,
case_085,5,3187899,776271,4.106683104225199,10045208,10045208,0,fork_spread_0.0,0.078,,,,,,,
case_086,5,118403,45009,2.630651647448288,1634904,1634904,0,fork_separators_3,0.031,,,,,,,
case_087,5,3974071,833349,4.768795546643723,12487680,5184000,7303680,current_a,0.125,,,,,,,
case_088,5,243623,76907,3.167761062061971,2333656,2333656,0,local_worksplit_204_2_41,0.016,,,,,,,
case_089,5,693092,133044,5.209494603289137,2506240,2506240,0,round3_round2_round1_structure_chains_8_move_41_0_0_boundary_187_1_swap_0_0,0.031,,,,,,,
case_090,5,1178363,246364,4.783016187429982,8839008,8839008,0,polish_seed_reference_local1_fixed_1_move_217_1_0_critical_order,0.016,,,,,,,
case_091,5,9186769,1855009,4.95241209072301,62597632,25913344,36684288,seed_memory_order,0.14,,,,,,,
case_092,5,4815554,826466,5.826681315383815,13818240,12575104,1243136,depth_islands_16,0.078,,,,,,,
case_093,5,74205,15876,4.674036281179139,32768,,,fixed_16,0.0,,,,,,,
case_094,5,94892,21573,4.3986464562184215,424800,424800,0,current_a,0.015,,,,,,,
case_095,5,2084853,420749,4.955099120853525,0,,,local1_fixed_1_swap_0_15,0.0,,,,,,,
case_096,5,84194,25244,3.335208366344478,1112956,1112956,0,depth_islands_4,0.015,,,,,,,
case_097,5,11491509,2102348,5.466035594487687,21311488,17039360,4272128,current_a,0.031,,,,,,,
case_098,5,177430,45749,3.8783361384948303,393432,393432,0,current_a,0.015,,,,,,,
case_099,5,1622999,331265,4.89939776312016,10131248,8451888,1679360,depth_islands_8,0.032,,,,,,,
case_100,5,151223,37131,4.072688589049581,724700,724700,0,current_a,0.015,,,,,,,
