case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_035,2,ok,169571,166405,1.0190258706168684,111474,176020,1.0577807157236863,paired_b_plan,1.107,3.228,166405,166405,111474,111474,1.0,0.005723551157267677,0.005723551157267677
case_035,3,ok,169571,154722,1.0959721306601518,0,176256,1.1391786559118935,paired_b_plan,1.22,3.449,154722,154722,0,0,1.0,0.0,0.0
case_035,4,ok,169571,166414,1.0189707596716622,111528,173090,1.0401168170947155,paired_b_plan,1.117,3.378,166414,166414,111528,111528,1.0,0.005727603967026625,0.005727603967026625
case_035,5,ok,169571,155064,1.0935549192591447,0,173330,1.1177965227261002,paired_b_plan,1.263,3.56,155064,155064,0,0,1.0,0.0,0.0
case_036,2,ok,931510,484623,1.9221332871118375,1152,722515,1.4908805401311949,paired_b_plan,0.787,2.883,484623,484623,1152,1152,1.0,0.0,0.0
case_036,3,ok,931510,335720,2.774663409984511,2304,531338,1.5826819969021804,paired_b_plan,0.739,2.711,335720,335720,2304,2304,1.0,0.0,0.0
case_036,4,ok,931510,261313,3.5647288883446286,3456,433996,1.6608282021943035,paired_b_plan,0.726,2.546,261313,261313,3456,3456,1.0,0.0,0.0
case_036,5,ok,931510,187182,4.976493466252097,4608,396947,2.120647284461113,paired_b_plan,0.713,2.498,187182,187182,4608,4608,1.0,0.0,0.0
case_037,2,ok,210001,130275,1.6119823450393398,2981888,130864,1.0045212051429668,paired_b_plan,0.262,0.681,130275,130275,2981888,2981888,1.0,0.21081081081081082,0.21081081081081082
case_037,3,ok,210001,97051,2.163821083760085,3579904,97051,1.0,v1_l2,0.302,0.769,97643,97553,4020224,4020224,1.0009225754205406,0.32236400268636667,0.29416167664670656
case_037,4,ok,210001,76975,2.7281714842481324,3956736,82918,1.077206885352387,paired_b_plan,0.299,0.774,77901,76975,3956736,3956736,1.012029879831114,0.24076607387140903,0.24076607387140903
case_037,5,ok,210001,78563,2.6730267428687804,5431296,81022,1.0312997212428243,v2_memory_24,0.345,0.909,96013,81022,5005312,5005312,1.1850238206906767,0.23908045977011494,0.34521384928716903
case_038,2,ok,1364555,1002665,1.3609281265427635,18606208,1121419,1.118438361765894,paired_b_plan,4.057,12.251,1003315,1002665,18606208,18606208,1.000648272354176,0.10453910133706594,0.10453910133706594
case_038,3,ok,1364555,724168,1.8843072325758663,20519552,1032888,1.426309917035826,paired_b_plan,4.142,12.207,726947,724168,20519552,20519552,1.0038375073187438,0.252194714901911,0.252194714901911
case_038,4,ok,1364555,610581,2.2348468098417738,22011520,892294,1.461385139727571,v2_memory_137,4.217,12.257,630747,615992,22015616,22015616,1.023953233158872,0.3129569006643077,0.30974953630792385
case_038,5,ok,1364555,470351,2.9011419131669753,22546052,761366,1.6187187866082988,v2_memory_109,4.05,12.083,486511,473786,22320776,22320776,1.026858117377888,0.36723390480462037,0.3658238453861102
case_039,2,ok,1435262,1109036,1.2941527596940046,36679680,1109036,1.0,paired_b_plan,3.701,10.42,1109763,1109036,36679680,36679680,1.0006555242571025,0.0953280659567159,0.0953280659567159
case_039,3,ok,1435262,862206,1.6646393089354516,38137856,862206,1.0,paired_b_plan,3.599,10.486,870715,862206,38137856,38137856,1.009868871244227,0.14010366051182377,0.14010366051182377
case_039,4,ok,1435262,765826,1.8741359003220053,39141376,770606,1.0062416266880467,paired_b_plan,3.732,10.889,781512,765826,39141376,39141376,1.020482459462071,0.1696969696969697,0.1696969696969697
case_039,5,ok,1435262,663704,2.1625031640610874,38887424,670464,1.0101852633101502,v2_memory_97,3.521,10.051,725256,670464,38162432,38162432,1.0817225085910653,0.2113354037267081,0.2434496182063183
case_040,2,ok,253454,233224,1.0867406441875622,77058,279823,1.1998036222687203,paired_b_plan,1.073,2.695,233260,233224,77058,77058,1.000154358042054,0.021313925125498456,0.021313925125498456
case_040,3,ok,253454,136890,1.8515158156183797,1564672,283518,2.071137409598948,paired_b_plan,1.036,2.614,136890,136890,1564672,1564672,1.0,0.012020542920029346,0.012020542920029346
case_040,4,ok,253454,224244,1.1302598954710048,126210,292418,1.304017052853142,paired_b_plan,1.044,2.763,224384,224244,126210,126210,1.0006243199372113,0.030979501617444196,0.030979501617444196
case_040,5,ok,253454,224244,1.1302598954710048,126210,293265,1.3077941884732702,paired_b_plan,1.008,2.809,224384,224244,126210,126210,1.0006243199372113,0.030979501617444196,0.030979501617444196
case_041,2,ok,6003957,3822661,1.5706224015155934,27447804,4656968,1.2182529395099382,paired_b_plan,11.048,48.86,3828012,3822661,27447804,27447804,1.0013998102369004,0.17610843748877264,0.17610843748877264
case_041,3,ok,6003957,2793196,2.14949362665563,27354916,3851499,1.3788860502449525,paired_b_plan,9.496,42.925,2799198,2793196,27354916,27354916,1.0021487929955506,0.13970651012298252,0.13970651012298252
case_041,4,ok,6003957,2801799,2.1428935480382427,27278196,3867682,1.380428074961837,paired_b_plan,9.277,41.783,2806190,2801799,27278196,27278196,1.0015672073549886,0.13224842156343436,0.13224842156343436
case_041,5,ok,6003957,2511677,2.3904176372997004,127830036,3512383,1.398421453076968,paired_b_plan,15.931,46.803,2538948,2511677,127830036,127830036,1.010857685920602,0.13667954450742228,0.13667954450742228
case_042,2,ok,1686740,1105706,1.5254868834934423,8204400,1736820,1.5707792125574067,paired_b_plan,1.814,6.508,1125548,1105706,8204400,8204400,1.0179450957126035,0.4394236472106897,0.4394236472106897
case_042,3,ok,1686740,714783,2.3597931120354008,8493192,1745993,2.4426895995008273,paired_b_plan,1.723,6.123,718353,714783,8493192,8493192,1.0049945228132173,0.48422374442137894,0.48422374442137894
case_042,4,ok,1686740,714275,2.361471422071331,8566920,1566621,2.193302299534493,paired_b_plan,1.763,6.159,718374,714275,8566920,8566920,1.0057386860802913,0.4767746641308551,0.4767746641308551
case_042,5,ok,1686740,714275,2.361471422071331,8566920,1447982,2.0272052080781213,paired_b_plan,1.782,6.18,718446,714275,8566920,8566920,1.0058394875923138,0.4767746641308551,0.4767746641308551
case_043,2,ok,677656,624948,1.0843398170727805,969418,667575,1.0682088749783982,paired_b_plan,3.947,12.959,624948,624948,969418,969418,1.0,0.07188057308498876,0.07188057308498876
case_043,3,ok,677656,662868,1.022309117350664,82040,679774,1.0255043236360784,paired_b_plan,4.343,13.084,662868,662868,82040,82040,1.0,0.022015587207739856,0.022015587207739856
case_043,4,ok,677656,625247,1.0838212738325814,985802,679492,1.0867577133516835,paired_b_plan,4.09,13.086,625247,625247,985802,985802,1.0,0.07159664481437121,0.07159664481437121
case_043,5,ok,677656,619201,1.0944039173063351,965322,690974,1.115912280503423,paired_b_plan,4.2,12.54,619201,619201,965322,965322,1.0,0.07195190736566258,0.07195190736566258
case_044,2,ok,154407,82297,1.8762166300108145,0,82950,1.007934675626086,paired_b_plan,0.36,0.934,82297,82297,0,0,1.0,0.0,0.0
case_044,3,ok,154407,81945,1.8842760388065165,0,81945,1.0,paired_b_plan,0.369,0.986,81945,81945,0,0,1.0,0.0,0.0
case_044,4,ok,154407,81511,1.8943087436051576,0,81511,1.0,paired_b_plan,0.381,0.992,81511,81511,0,0,1.0,0.0,0.0
case_044,5,ok,154407,80741,1.912374134578467,0,80741,1.0,paired_b_plan,0.395,1.007,80741,80741,0,0,1.0,0.0,0.0
case_045,2,ok,125614,107215,1.1716084503101245,0,205859,1.920057827729329,paired_b_plan,0.361,1.408,107215,107215,0,0,1.0,0.0,0.0
case_045,3,ok,125614,107215,1.1716084503101245,0,239702,2.235713286387166,paired_b_plan,0.373,1.459,107215,107215,0,0,1.0,0.0,0.0
case_045,4,ok,125614,107215,1.1716084503101245,0,202151,1.8854731147693886,paired_b_plan,0.372,1.425,107215,107215,0,0,1.0,0.0,0.0
case_045,5,ok,125614,107215,1.1716084503101245,0,200867,1.8734971785664318,paired_b_plan,0.371,1.371,107215,107215,0,0,1.0,0.0,0.0
case_046,2,ok,276455,224772,1.2299352232484473,0,225203,1.0019174986208246,paired_b_plan,0.239,0.624,224772,224772,0,0,1.0,0.0,0.0
case_046,3,ok,276455,221913,1.2457810042674382,0,223259,1.0060654400598432,paired_b_plan,0.244,0.629,221913,221913,0,0,1.0,0.0,0.0
case_046,4,ok,276455,222475,1.242634003820654,0,222475,1.0,paired_b_plan,0.241,0.635,222475,222475,0,0,1.0,0.0,0.0
case_046,5,ok,276455,221361,1.248887563753326,0,222475,1.005032503467187,paired_b_plan,0.244,0.643,221361,221361,0,0,1.0,0.0,0.0
case_047,2,ok,326508,313202,1.0424837644714913,0,319871,1.0212929674778577,paired_b_plan,7.474,22.92,313202,313202,0,0,1.0,0.0,0.0
case_047,3,ok,326508,313202,1.0424837644714913,0,319871,1.0212929674778577,paired_b_plan,7.507,23.05,313202,313202,0,0,1.0,0.0,0.0
case_047,4,ok,326508,313202,1.0424837644714913,0,317644,1.0141825403413771,paired_b_plan,7.855,23.445,313202,313202,0,0,1.0,0.0,0.0
case_047,5,ok,326508,313202,1.0424837644714913,0,330821,1.0562544300483394,paired_b_plan,7.828,23.28,313202,313202,0,0,1.0,0.0,0.0
case_048,2,ok,222220,202013,1.1000282160059005,0,219496,1.0865439352912931,paired_b_plan,0.473,1.223,202013,202013,0,0,1.0,0.0,0.0
case_048,3,ok,222220,202013,1.1000282160059005,0,210279,1.0409181587323588,paired_b_plan,0.503,1.283,202013,202013,0,0,1.0,0.0,0.0
case_048,4,ok,222220,202013,1.1000282160059005,0,214599,1.0623029210991373,paired_b_plan,0.487,1.264,202013,202013,0,0,1.0,0.0,0.0
case_048,5,ok,222220,202013,1.1000282160059005,0,209005,1.0346116339047486,paired_b_plan,0.494,1.274,202013,202013,0,0,1.0,0.0,0.0
case_049,2,ok,196276,170314,1.1524360886362837,132006,203706,1.1960613924868184,paired_b_plan,1.241,3.546,170314,170314,132006,132006,1.0,0.011819513571058114,0.011819513571058114
case_049,3,ok,196276,169425,1.1584831046185629,146410,200200,1.181643795189612,paired_b_plan,1.167,3.545,169425,169425,146410,146410,1.0,0.03852693713933307,0.03852693713933307
case_049,4,ok,196276,169442,1.158366874800817,148494,207251,1.2231383010115555,paired_b_plan,1.218,3.66,169442,169442,148494,148494,1.0,0.042995571535055024,0.042995571535055024
case_049,5,ok,196276,169424,1.1584899423930495,148498,200518,1.183527717442629,paired_b_plan,1.145,3.573,169424,169424,148498,148498,1.0,0.04301235563895928,0.04301235563895928
case_050,2,ok,149690,132809,1.1271073496525086,115430,149915,1.1288015119457266,paired_b_plan,1.337,3.892,132809,132809,115430,115430,1.0,0.009224790237669037,0.009224790237669037
case_050,3,ok,149690,131355,1.1395835712382476,125738,153455,1.168246355296715,paired_b_plan,1.239,3.805,131355,131355,125738,125738,1.0,0.021113883693913805,0.021113883693913805
case_050,4,ok,149690,131367,1.1394794735359717,126286,156423,1.1907328324465047,paired_b_plan,1.253,3.804,131367,131367,126286,126286,1.0,0.02185783816142214,0.02185783816142214
case_050,5,ok,149690,131354,1.1395922469053092,126290,157149,1.1963777273626992,paired_b_plan,1.225,3.815,131354,131354,126290,126290,1.0,0.021868021467203173,0.021868021467203173
case_051,2,ok,607628,607628,1.0,0,610548,1.004805571830133,paired_b_plan,0.277,0.779,607628,607628,0,0,1.0,0.0,0.0
case_051,3,ok,607628,607628,1.0,0,607628,1.0,paired_b_plan,0.287,0.8,607628,607628,0,0,1.0,0.0,0.0
case_051,4,ok,607628,607628,1.0,0,687038,1.130688513366731,paired_b_plan,0.289,0.847,607628,607628,0,0,1.0,0.0,0.0
case_051,5,ok,607628,607628,1.0,0,730037,1.201453850052993,paired_b_plan,0.297,0.916,607628,607628,0,0,1.0,0.0,0.0
