scene,cores,count,mean_speedup,mean_gain_over_v1,win_rate_over_v1,mean_paired_l2_speedup
A,1,1,1.0,,,
A,2,1,1.0340767172167706,1.0610042054288262,1.0,
B,1,1,1.0,,,
B,2,1,1.2181223166301378,1.027291560332663,1.0,
L2,1,1,1.0,,,1.0
L2,2,1,1.2181223166301378,1.027291560332663,1.0,1.0
