case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,126250,1.8464158415841585,168192,182077,1.4421940594059406,v3_idblock_32,0.055,0.457,,,,,,,
case_001,4,ok,233110,76642,3.041543801049033,84096,127586,1.6647008167845307,v3_idblock_64,0.055,0.471,,,,,,,
case_019,2,ok,81144,68700,1.1811353711790393,365416,83257,1.2118922852983989,v3_idblock_32,0.061,0.37,,,,,,,
case_019,4,ok,81144,57340,1.415137774677363,365416,83057,1.4485001743983257,v3_idblock_32,0.063,0.388,,,,,,,
case_035,2,ok,169571,172837,0.9811035831448127,487576,184607,1.0680988445761035,v2_memory_427,0.399,2.371,,,,,,,
case_035,4,ok,169571,171766,0.9872209866911962,604736,187076,1.0891328900946637,v2_memory_310,0.405,2.454,,,,,,,
