scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,1,1,
A,2,1,1.0174038000958008,
A,4,1,1.0100390996512734,
A,5,1,1.4752276585892885,
B,1,1,1,
B,2,1,1.408799469378731,
B,4,1,1.871548854513413,
B,5,1,2.623301770275834,
L2,1,1,1,1.0
L2,2,1,1.4115040980580373,1.0008113291045877
L2,4,1,1.8717321061392342,1.0000979144227944
L2,5,1,2.6377811508210294,1.0055195253208224
