scene,cores,count,mean_speedup,mean_gain_over_v1,win_rate_over_v1,mean_paired_l2_speedup
A,1,2,1.0,,,
A,2,2,1.554427916734987,1.3629105600045541,1.0,
A,5,2,3.0495594187079864,1.871234689109667,1.0,
B,1,2,1.0,,,
B,2,2,1.8882308556351064,1.4301566087893582,1.0,
B,5,2,4.045868877794862,2.029835864692924,1.0,
L2,1,2,1.0,,,1.0
L2,2,2,1.892970675297993,1.43415388941603,1.0,1.0026601028720281
L2,5,2,4.050191885998838,2.006870431257488,1.0,1.001357572895762
