case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,233110,116868,1.9946435294520313,1152,b_candidate_fixed_2,4.196,116868,116868,1152,1152,1.0,0.0,0.0
case_001,3,233110,78545,2.9678528232223567,2304,b_candidate_local1_fixed_1_merge_0_1,4.086,78545,78545,2304,2304,1.0,0.0,0.0
case_001,4,233110,58984,3.952088702020887,3456,b_candidate_fixed_2,4.118,58984,58984,3456,3456,1.0,0.0,0.0
case_001,5,233110,47502,4.9073723211654245,4608,b_candidate_fixed_1,4.092,47502,47502,4608,4608,1.0,0.0,0.0
case_002,2,261945,137650,1.9029785688339993,537600,b_candidate_local1_fixed_24_merge_0_2,15.725,137650,137650,537600,537600,1.0,0.0,0.0
case_002,3,261945,93427,2.803739818253824,565248,b_candidate_local1_fixed_24_merge_0_3,15.265,93427,93427,565248,565248,1.0,0.0,0.0
case_002,4,261945,72103,3.6329278948171364,771072,b_candidate_local1_fixed_24_merge_0_4,15.607,72103,72103,771072,771072,1.0,0.0,0.0
case_002,5,261945,58897,4.447510059935141,743424,b_candidate_local1_fixed_24_merge_0_5,15.299,58897,58897,743424,743424,1.0,0.0,0.0
case_003,2,602212,461331,1.3053794347225744,1017822,local1_paired_b_plan_split_6_1,140.56,462126,462108,1017822,1017822,1.0000389519333144,0.1568961405788104,0.1568961405788104
case_003,3,602212,391315,1.5389443287377178,4079068,b_candidate_local1_fixed_4_merge_3347_3348,149.454,391667,391315,4079068,4079068,1.0008995310683209,0.27944926976092843,0.27944926976092843
case_003,4,602212,366066,1.6450913223298531,4553662,b_candidate_local1_fixed_4_split_3336_1,149.009,366574,366066,4553662,4553662,1.0013877278960626,0.3242646888878289,0.3242646888878289
case_003,5,602212,353767,1.7022842718512468,4995328,b_candidate_local1_fixed_4_split_3336_1,147.357,355037,353767,4995328,4995328,1.0035899334872953,0.3383384501227245,0.3383384501227245
case_004,2,392357,197790,1.9837049395823854,138240,local1_b_candidate_local1_fixed_2_move_28_1_0_merge_28_7,5.205,199002,199002,138240,138240,1.0,0.005319148936170213,0.005319148936170213
case_004,3,392357,135284,2.900246888028148,248832,local1_b_candidate_local1_fixed_2_move_42_2_0_swap_0_13,5.203,135632,135632,248832,248832,1.0,0.004464285714285714,0.004464285714285714
case_004,4,392357,104164,3.76672362812488,331776,local1_b_candidate_fixed_4_swap_0_6,5.522,104188,104188,331776,331776,1.0,0.0,0.0
case_004,5,392357,86424,4.539907895954827,470016,local1_b_candidate_local1_fixed_2_move_35_2_0_swap_0_6,5.061,86609,86609,470016,470016,1.0,0.0033783783783783786,0.0033783783783783786
case_005,2,95618,65304,1.464198211441872,623782,local1_paired_b_plan_merge_327_329,35.647,65546,65387,623782,623782,1.0024316760212275,0.17449048696769562,0.17449048696769562
case_005,3,95618,60994,1.5676623930222644,1037164,b_candidate_fixed_4,34.992,61629,60994,1037164,1037164,1.0104108600845985,0.31654565789828626,0.31654565789828626
case_005,4,95618,59190,1.615441797600946,1288690,local1_paired_b_plan_swap_0_6,36.856,60498,59193,1288690,1288690,1.0220465257716285,0.3786212590151748,0.38616934590394775
case_005,5,95618,58151,1.644305342986363,1404760,local1_paired_b_plan_merge_1002_1003,35.943,60063,58151,1404760,1404760,1.0328799160805489,0.425082340425176,0.425082340425176
case_006,2,82837,38049,2.1771137217798104,44,local1_paired_b_plan_merge_1_2,4.226,38049,38049,44,44,1.0,0.0,0.0
