case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_005,5,95618,39919,2.395300483479045,1344888,1344888,0,fork_separators_3,11.063,,,,,,,
case_044,5,154407,73856,2.090649371750433,157376,157376,0,round5_round4_round3_round2_round1_polish_seed_reference_local1_adaptive_critical_25_move_42_1_0_placement_splitmove_55_56_1_0_splitmove_0_57_2_0_move_42_3_0_splitmove_7_58_4_0_boundary_672_56,3.922,,,,,,,
case_048,5,222220,99538,2.2325142156764253,1176024,1176024,0,round4_round3_round1_polish_seed_reference_a_chains_8_placement_merge_1200_1205_merge_227_229_placement,5.359,,,,,,,
case_064,5,19116,7096,2.69391206313416,91026,91026,0,fork_spread_0.25,2.797,,,,,,,
case_071,5,18919,7528,2.5131509032943677,231186,231186,0,local_move_0_4_0,2.328,,,,,,,
case_086,5,118403,45009,2.630651647448288,1634904,1634904,0,fork_separators_3,7.703,,,,,,,
