scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,1,1,
A,4,1,1.0100390996512734,
B,1,1,1,
B,4,1,1.871548854513413,
L2,1,1,1,1.0
L2,4,1,1.8717321061392342,1.0000979144227944
