case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,116868,1.9946435294520313,1152,158664,1.357634254030188,v4_idblock_1,0,0.562,,,,,,,
case_001,5,ok,233110,47502,4.9073723211654245,4608,71968,1.5150519978106185,v4_idblock_1,0,0.542,,,,,,,
case_019,2,ok,81144,45540,1.7818181818181817,137280,68432,1.5026789635485287,v4_idblock_2,0,0.676,,,,,,,
case_019,5,ok,81144,25482,3.1843654344242993,290964,64842,2.5446197315752297,v4_idblock_2,0,0.694,,,,,,,
