case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,126250,1.8464158415841585,168192,182077,1.4421940594059406,v3_idblock_32,0.054,0.453,,,,,,,
case_001,3,ok,233110,86275,2.701941466241669,84096,141636,1.6416806722689075,v3_idblock_64,0.056,0.481,,,,,,,
case_001,4,ok,233110,76642,3.041543801049033,84096,127586,1.6647008167845307,v3_idblock_64,0.055,0.471,,,,,,,
case_001,5,ok,233110,76642,3.041543801049033,84096,109408,1.4275201586597428,v3_idblock_64,0.056,0.484,,,,,,,
case_002,2,ok,261945,147303,1.7782733549214884,829440,193846,1.3159677671194747,v3_idblock_128,0.118,1.798,,,,,,,
case_002,3,ok,261945,105162,2.4908712272493867,829440,167198,1.5899089024552595,v3_idblock_128,0.118,1.907,,,,,,,
case_002,4,ok,261945,84137,3.113315188323805,829440,159107,1.8910467451893935,v3_idblock_128,0.117,1.949,,,,,,,
case_002,5,ok,261945,70739,3.702978554969677,829440,157345,2.2243034252675327,v3_idblock_128,0.121,1.996,,,,,,,
case_003,2,ok,602212,596343,1.0098416515327588,1747120,660303,1.107253711370805,v3_idblock_512,1.19,13.686,,,,,,,
case_003,3,ok,602212,596343,1.0098416515327588,1747120,660303,1.107253711370805,v3_idblock_512,1.192,14.007,,,,,,,
case_003,4,ok,602212,596343,1.0098416515327588,1747120,684527,1.1478746291982969,v3_idblock_512,1.498,14.664,,,,,,,
case_003,5,ok,602212,596343,1.0098416515327588,1747120,659415,1.1057646354530866,v3_idblock_512,1.512,14.795,,,,,,,
case_004,2,ok,392357,237239,1.6538469644535678,1588224,307433,1.2958788394825471,v3_idblock_64,0.077,0.599,,,,,,,
case_004,3,ok,392357,195531,2.006622990727813,3118080,255169,1.3050053444210892,v3_idblock_32,0.079,0.645,,,,,,,
case_004,4,ok,392357,147019,2.668750297580585,3118080,222242,1.5116549561621286,v3_idblock_32,0.077,0.689,,,,,,,
case_004,5,ok,392357,147019,2.668750297580585,3118080,200902,1.3665036491882,v3_idblock_32,0.077,0.694,,,,,,,
case_005,2,ok,95618,97007,0.9856814456688693,986428,109781,1.1316812188811116,v2_critical_455,0.408,2.638,,,,,,,
